variant,P5,P50,P95
V1,27880.65041947676,76995.90082080828,179876.98285668693
V2,40567.694289835585,113870.25145076873,242154.95967962383
V3,42616.76956051635,112449.25132044277,236814.11665282908
V4,43594.674178915455,114182.17233975494,239005.47238779135
V7,42262.408893384985,111913.2908151981,239775.90341433955
V8,44228.15996752233,113628.29629059504,240878.17293760233
