variant,P5,P50,P95
V1,0.0,0.0,0.0
V2,45.50483464150449,47.891316598500126,34.622538044545436
V3,52.8542875411016,46.04576363376108,31.653373817986246
V4,56.36175456101,48.29643022878563,32.87162625927174
V7,51.58329614814679,45.34967397245299,33.29993621550557
V8,58.63388874394979,47.57707238862097,33.91272697158634
