base_building_group,variant,sample_id,annual_heating_kWh_mean,annual_heating_kWh_std,annual_heating_kWh_min,annual_heating_kWh_max
DESHPDHK0000lce9,V4,14,88580.39959212054,2320.833243737687,86994.39554333473,91244.15288623484
DESHPDHK0000lce9,V4,11,232013.1678107664,3604.326035742691,229333.14568826975,236110.7642721663
DESHPDHK0000lce9,V4,16,207440.9598783241,3306.670133791081,204723.18395485645,211122.41923746868
DESHPDHK0000lce9,V4,17,238523.95683933378,3842.9971573942903,235522.6521159408,242855.2901473301
DESHPDHK0000lce9,V4,18,217845.01763023844,3054.941053025806,215561.47749387013,221315.2524655296
DESHPDHK0000lce9,V4,15,38886.43902311446,2499.52042224026,37038.355960023895,41730.38786625957
DESHPDHK0000lce9,V4,10,107845.80205117683,2739.34463346309,105750.2236096133,110945.52262249732
DESHPDHK0000lce9,V4,19,43842.47602922077,2862.5249401638102,41581.97538093817,47061.18311551811
DESHPDHK0000lce9,V4,8,234121.36543109477,3828.800925975894,231872.36777613717,238542.2598191443
DESHPDHK0000lce9,V4,0,211895.7581373341,3428.033602572767,209170.4109700793,215744.54847079853
DESHPDHK0000lce9,V4,1,218540.79675274008,3360.9878290009083,216531.93267807295,222420.91793075387
DESHPDHK0000lce9,V4,2,86579.5775858005,2559.4510680475073,85009.48244324414,89533.00951005217
DESHPDHK0000lce9,V4,3,203788.81320633518,3463.7678402635293,201381.5540143653,207758.58000756704
DESHPDHK0000lce9,V4,9,120518.54262833305,2793.112647537963,118777.910924999,123740.26852864063
DESHPDHK0000lce9,V4,5,98531.56829510823,2730.266162419923,96793.66456637275,101678.484445827
