event,window_start,window_end,event_time,selection_rule
peak_heating,2021-11-20 14:00:00,2021-11-23 14:00:00,2021-11-22 02:00:00,maximum median heating load after skipping the first 1 day(s)
overheating,2021-08-04 08:00:00,2021-08-07 08:00:00,,maximum rolling 3-day sum of median any-zone overheating indicators above 26 °C
