variant,building_id,weather_key,seed,sample_id,run_dir,timeseries_csv,n_total_zones,n_residential_zones,annual_heat_demand_kWh,peak_heat_demand_kW,peak_timestamp,peak_zone_heat_demand_kW,peak_zone_number,peak_zone_name,overheating_threshold_C,overheating_hours_mean_zone,overheating_hours_max_zone,overheated_zone_number,overheated_zone_name,mean_indoor_temp_C
V1,DESHPDHK0000lce9_1,TRY_A,1,9,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0009\seed_1,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0009\seed_1\timeseries.csv,1,1,69185273.11663055,39503.41796875,2021-11-22T05:00:00,39503.41796875,1,ThermalZone,26.0,2139.0,2139.0,1,ThermalZone,23.475234422094832
V1,DESHPDHK0000lce9_1,TRY_A,2,9,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0009\seed_2,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0009\seed_2\timeseries.csv,1,1,66292862.490406275,39356.5234375,2021-12-21T04:00:00,39356.5234375,1,ThermalZone,26.0,2159.0,2159.0,1,ThermalZone,23.507984402337307
V1,DESHPDHK0000lce9_1,TRY_A,3,9,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0009\seed_3,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0009\seed_3\timeseries.csv,1,1,66053530.41286659,39444.734375,2021-12-21T05:00:00,39444.734375,1,ThermalZone,26.0,2169.0,2169.0,1,ThermalZone,23.50424295979922
V1,DESHPDHK0000lce9_1,TRY_A,1,10,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0010\seed_1,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0010\seed_1\timeseries.csv,1,1,76246112.26944947,39775.12109375,2021-11-22T05:00:00,39775.12109375,1,ThermalZone,26.0,1952.0,1952.0,1,ThermalZone,23.325327142446167
V1,DESHPDHK0000lce9_1,TRY_A,2,10,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0010\seed_2,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0010\seed_2\timeseries.csv,1,1,73197002.15128326,39604.203125,2021-12-21T04:00:00,39604.203125,1,ThermalZone,26.0,1979.0,1979.0,1,ThermalZone,23.358752334119266
V1,DESHPDHK0000lce9_1,TRY_A,3,10,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0010\seed_3,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0010\seed_3\timeseries.csv,1,1,72922873.65908265,39633.984375,2021-12-21T05:00:00,39633.984375,1,ThermalZone,26.0,1984.0,1984.0,1,ThermalZone,23.354634794912972
V1,DESHPDHK0000lce9_1,TRY_A,1,13,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0013\seed_1,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0013\seed_1\timeseries.csv,1,1,75171691.98198843,40204.05859375,2021-11-22T05:00:00,40204.05859375,1,ThermalZone,26.0,2035.0,2035.0,1,ThermalZone,23.499609317873176
V1,DESHPDHK0000lce9_1,TRY_A,2,13,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0013\seed_2,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0013\seed_2\timeseries.csv,1,1,72140788.82064438,39936.578125,2021-12-21T04:00:00,39936.578125,1,ThermalZone,26.0,2066.0,2066.0,1,ThermalZone,23.53214879962848
V1,DESHPDHK0000lce9_1,TRY_A,3,13,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0013\seed_3,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0013\seed_3\timeseries.csv,1,1,71861551.7479248,39987.34765625,2021-12-21T05:00:00,39987.34765625,1,ThermalZone,26.0,2069.0,2069.0,1,ThermalZone,23.528238885150426
V1,DESHPDHK0000lce9_1,TRY_A,1,14,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0014\seed_1,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0014\seed_1\timeseries.csv,1,1,67941053.02675056,39093.94921875,2021-11-22T05:00:00,39093.94921875,1,ThermalZone,26.0,2109.0,2109.0,1,ThermalZone,23.404886674135344
V1,DESHPDHK0000lce9_1,TRY_A,2,14,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0014\seed_2,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0014\seed_2\timeseries.csv,1,1,64965812.32171178,39038.7421875,2021-12-21T04:00:00,39038.7421875,1,ThermalZone,26.0,2143.0,2143.0,1,ThermalZone,23.44098854060589
V1,DESHPDHK0000lce9_1,TRY_A,3,14,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0014\seed_3,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0014\seed_3\timeseries.csv,1,1,64689346.939834595,39112.1171875,2021-12-21T05:00:00,39112.1171875,1,ThermalZone,26.0,2145.0,2145.0,1,ThermalZone,23.4375865325388
V1,DESHPDHK0000lce9_1,TRY_A,1,15,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0015\seed_1,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0015\seed_1\timeseries.csv,1,1,21516551.85771203,23523.69140625,2021-11-22T02:00:00,23523.69140625,1,ThermalZone,26.0,2543.0,2543.0,1,ThermalZone,23.74460953119317
V1,DESHPDHK0000lce9_1,TRY_A,2,15,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0015\seed_2,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0015\seed_2\timeseries.csv,1,1,18940163.34614563,21691.97265625,2021-11-22T02:00:00,21691.97265625,1,ThermalZone,26.0,2595.0,2595.0,1,ThermalZone,23.812406987047773
V1,DESHPDHK0000lce9_1,TRY_A,3,15,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0015\seed_3,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0015\seed_3\timeseries.csv,1,1,18722811.277314663,21661.185546875,2021-12-28T03:00:00,21661.185546875,1,ThermalZone,26.0,2579.0,2579.0,1,ThermalZone,23.813179948082027
V1,DESHPDHK0000lce9_1,TRY_A,1,19,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0019\seed_1,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0019\seed_1\timeseries.csv,1,1,30418599.96325493,26121.33203125,2021-11-22T02:00:00,26121.33203125,1,ThermalZone,26.0,2387.0,2387.0,1,ThermalZone,23.953507296324148
V1,DESHPDHK0000lce9_1,TRY_A,2,19,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0019\seed_2,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0019\seed_2\timeseries.csv,1,1,27396563.903632164,24307.580078125,2021-11-22T01:00:00,24307.580078125,1,ThermalZone,26.0,2432.0,2432.0,1,ThermalZone,24.007239454356732
V1,DESHPDHK0000lce9_1,TRY_A,3,19,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0019\seed_3,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0019\seed_3\timeseries.csv,1,1,27114283.432451487,25544.685546875,2021-01-01T09:00:00,25544.685546875,1,ThermalZone,26.0,2430.0,2430.0,1,ThermalZone,24.004821689563496
V1,DESHPDHK0000lce9_1,TRY_B,1,0,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0000\seed_1,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0000\seed_1\timeseries.csv,1,1,174247281.72920227,62351.11328125,2021-01-01T04:00:00,62351.11328125,1,ThermalZone,26.0,47.0,47.0,1,ThermalZone,21.434237628053324
