base_building_group,sample_id,pair,delta,kpi
DESHPDHK0000lce9,34,V5 - V3,2.0768373011096846,annual_heating_kWh
DESHPDHK0000lce9,33,V5 - V3,-12.27249589211421,annual_heating_kWh
DESHPDHK0000lce9,32,V5 - V3,3.9667497469281954,annual_heating_kWh
DESHPDHK0000lce9,42,V5 - V3,-0.2815910106554511,annual_heating_kWh
DESHPDHK0000lce9,36,V5 - V3,-4.360487565223113,annual_heating_kWh
DESHPDHK0000lce9,43,V5 - V3,-12.033427061853786,annual_heating_kWh
DESHPDHK0000lce9,50,V5 - V3,-1.206538388292247,annual_heating_kWh
DESHPDHK0000lce9,45,V5 - V3,-6.59028639219825,annual_heating_kWh
DESHPDHK0000lce9,46,V5 - V3,-11.358041088074271,annual_heating_kWh
DESHPDHK0000lce9,47,V5 - V3,-4.092594006275045,annual_heating_kWh
DESHPDHK0000lce9,48,V5 - V3,-8.10891296020383,annual_heating_kWh
DESHPDHK0000lce9,49,V5 - V3,-27.89242384167423,annual_heating_kWh
DESHPDHK0000lce9,51,V5 - V3,-16.623273923067057,annual_heating_kWh
DESHPDHK0000lce9,52,V5 - V3,-4.169479895714118,annual_heating_kWh
DESHPDHK0000lce9,53,V5 - V3,-6.864755917966803,annual_heating_kWh
DESHPDHK0000lce9,54,V5 - V3,-2.4172277398349395,annual_heating_kWh
DESHPDHK0000lce9,55,V5 - V3,-5.129472407738911,annual_heating_kWh
DESHPDHK0000lce9,56,V5 - V3,-8.592531556410918,annual_heating_kWh
DESHPDHK0000lce9,57,V5 - V3,-6.730574886688206,annual_heating_kWh
DESHPDHK0000lce9,30,V5 - V3,-6.1679340283347415,annual_heating_kWh
DESHPDHK0000lce9,44,V5 - V3,-9.901470700602397,annual_heating_kWh
DESHPDHK0000lce9,29,V5 - V3,-16.82935097671507,annual_heating_kWh
DESHPDHK0000lce9,15,V5 - V3,-17.732907789395075,annual_heating_kWh
DESHPDHK0000lce9,27,V5 - V3,-12.767273481093317,annual_heating_kWh
DESHPDHK0000lce9,0,V5 - V3,-0.9910959143019136,annual_heating_kWh
DESHPDHK0000lce9,1,V5 - V3,-1.1097736004076724,annual_heating_kWh
DESHPDHK0000lce9,2,V5 - V3,-5.1319677473509655,annual_heating_kWh
DESHPDHK0000lce9,3,V5 - V3,-8.872396749691806,annual_heating_kWh
DESHPDHK0000lce9,4,V5 - V3,-9.946360637674108,annual_heating_kWh
DESHPDHK0000lce9,5,V5 - V3,-26.159790699397856,annual_heating_kWh
DESHPDHK0000lce9,6,V5 - V3,-16.788287585553334,annual_heating_kWh
DESHPDHK0000lce9,7,V5 - V3,-6.912486607887833,annual_heating_kWh
DESHPDHK0000lce9,8,V5 - V3,-19.59090344350811,annual_heating_kWh
DESHPDHK0000lce9,9,V5 - V3,-27.68101708904546,annual_heating_kWh
DESHPDHK0000lce9,10,V5 - V3,-6.925712113246075,annual_heating_kWh
DESHPDHK0000lce9,11,V5 - V3,-6.764792233385321,annual_heating_kWh
DESHPDHK0000lce9,12,V5 - V3,-11.649648183633515,annual_heating_kWh
DESHPDHK0000lce9,13,V5 - V3,-8.853565180058416,annual_heating_kWh
DESHPDHK0000lce9,14,V5 - V3,-0.49917249331888164,annual_heating_kWh
DESHPDHK0000lce9,58,V5 - V3,-5.383380324234589,annual_heating_kWh
DESHPDHK0000lce9,16,V5 - V3,-2.5474886732685262,annual_heating_kWh
DESHPDHK0000lce9,17,V5 - V3,-3.996156206680302,annual_heating_kWh
DESHPDHK0000lce9,18,V5 - V3,-4.380476633231447,annual_heating_kWh
DESHPDHK0000lce9,19,V5 - V3,-10.864509592515978,annual_heating_kWh
DESHPDHK0000lce9,20,V5 - V3,-7.469041203370897,annual_heating_kWh
DESHPDHK0000lce9,21,V5 - V3,-3.6197475875052625,annual_heating_kWh
DESHPDHK0000lce9,22,V5 - V3,-6.03286873227451,annual_heating_kWh
DESHPDHK0000lce9,23,V5 - V3,-11.346420495622645,annual_heating_kWh
DESHPDHK0000lce9,24,V5 - V3,-3.107378596969458,annual_heating_kWh
DESHPDHK0000lce9,25,V5 - V3,-17.156166323194803,annual_heating_kWh
DESHPDHK0000lce9,26,V5 - V3,-7.647325207942515,annual_heating_kWh
DESHPDHK0000lce9,28,V5 - V3,-8.494469363989724,annual_heating_kWh
DESHPDHK0000lce9,59,V5 - V3,-5.898291604451399,annual_heating_kWh
DESHPDHK0000lce9,38,V5 - V2,-10.766706283915177,annual_heating_kWh
DESHPDHK0000lce9,41,V5 - V2,-4.76115285597698,annual_heating_kWh
DESHPDHK0000lce9,40,V5 - V2,-2.130666508883776,annual_heating_kWh
DESHPDHK0000lce9,39,V5 - V2,-25.091791649466906,annual_heating_kWh
DESHPDHK0000lce9,37,V5 - V2,-23.78216620187086,annual_heating_kWh
DESHPDHK0000lce9,31,V5 - V2,-12.547009300695718,annual_heating_kWh
DESHPDHK0000lce9,35,V5 - V2,-7.928181881073768,annual_heating_kWh
DESHPDHK0000lce9,34,V5 - V2,-3.772204138228903,annual_heating_kWh
DESHPDHK0000lce9,33,V5 - V2,-12.69488252404434,annual_heating_kWh
DESHPDHK0000lce9,32,V5 - V2,18.499440991580325,annual_heating_kWh
DESHPDHK0000lce9,42,V5 - V2,-13.695341745236686,annual_heating_kWh
DESHPDHK0000lce9,36,V5 - V2,-11.555810617153554,annual_heating_kWh
DESHPDHK0000lce9,43,V5 - V2,-20.312590209637538,annual_heating_kWh
DESHPDHK0000lce9,50,V5 - V2,8.960599580037961,annual_heating_kWh
DESHPDHK0000lce9,45,V5 - V2,-8.874008029066855,annual_heating_kWh
DESHPDHK0000lce9,46,V5 - V2,-1.9938927669796394,annual_heating_kWh
DESHPDHK0000lce9,47,V5 - V2,1.6867081829406234,annual_heating_kWh
DESHPDHK0000lce9,48,V5 - V2,-5.026905028026959,annual_heating_kWh
DESHPDHK0000lce9,49,V5 - V2,-49.85945658965618,annual_heating_kWh
DESHPDHK0000lce9,51,V5 - V2,-17.448363046270416,annual_heating_kWh
DESHPDHK0000lce9,52,V5 - V2,-1.9047402496878059,annual_heating_kWh
DESHPDHK0000lce9,53,V5 - V2,-1.6817490779650253,annual_heating_kWh
DESHPDHK0000lce9,54,V5 - V2,-3.9777439597139455,annual_heating_kWh
DESHPDHK0000lce9,55,V5 - V2,3.511636320553367,annual_heating_kWh
DESHPDHK0000lce9,56,V5 - V2,-7.6156107271773505,annual_heating_kWh
DESHPDHK0000lce9,57,V5 - V2,-20.68410005899251,annual_heating_kWh
DESHPDHK0000lce9,30,V5 - V2,-25.80275237298067,annual_heating_kWh
DESHPDHK0000lce9,44,V5 - V2,-7.604159568398099,annual_heating_kWh
DESHPDHK0000lce9,29,V5 - V2,-19.581508158129147,annual_heating_kWh
DESHPDHK0000lce9,15,V5 - V2,-19.7674962984437,annual_heating_kWh
DESHPDHK0000lce9,27,V5 - V2,-12.554831848740811,annual_heating_kWh
DESHPDHK0000lce9,0,V5 - V2,-3.7668063841734987,annual_heating_kWh
DESHPDHK0000lce9,1,V5 - V2,-9.031375161449658,annual_heating_kWh
DESHPDHK0000lce9,2,V5 - V2,-2.8156116256041277,annual_heating_kWh
DESHPDHK0000lce9,3,V5 - V2,-10.617128727931908,annual_heating_kWh
DESHPDHK0000lce9,4,V5 - V2,-16.80945934498825,annual_heating_kWh
DESHPDHK0000lce9,5,V5 - V2,-29.645833296304307,annual_heating_kWh
DESHPDHK0000lce9,6,V5 - V2,-29.34607328909921,annual_heating_kWh
DESHPDHK0000lce9,7,V5 - V2,-1.75534609171969,annual_heating_kWh
DESHPDHK0000lce9,8,V5 - V2,0.9125493742713298,annual_heating_kWh
DESHPDHK0000lce9,9,V5 - V2,-16.197236435632455,annual_heating_kWh
DESHPDHK0000lce9,10,V5 - V2,-7.320927562333644,annual_heating_kWh
DESHPDHK0000lce9,11,V5 - V2,6.425528493579565,annual_heating_kWh
DESHPDHK0000lce9,12,V5 - V2,-13.577798138426587,annual_heating_kWh
DESHPDHK0000lce9,13,V5 - V2,2.3676709235870805,annual_heating_kWh
DESHPDHK0000lce9,14,V5 - V2,-8.050810480585584,annual_heating_kWh
DESHPDHK0000lce9,58,V5 - V2,-5.412037853489208,annual_heating_kWh
DESHPDHK0000lce9,16,V5 - V2,-5.164327461161942,annual_heating_kWh
DESHPDHK0000lce9,17,V5 - V2,-10.448188500559656,annual_heating_kWh
DESHPDHK0000lce9,18,V5 - V2,-9.107993984034824,annual_heating_kWh
DESHPDHK0000lce9,19,V5 - V2,-8.579232808983194,annual_heating_kWh
DESHPDHK0000lce9,20,V5 - V2,-9.547609119032586,annual_heating_kWh
DESHPDHK0000lce9,21,V5 - V2,-1.9779205385813985,annual_heating_kWh
DESHPDHK0000lce9,22,V5 - V2,-1.1646368375660605,annual_heating_kWh
DESHPDHK0000lce9,23,V5 - V2,-1.1403730021616065,annual_heating_kWh
DESHPDHK0000lce9,24,V5 - V2,-8.607496073645176,annual_heating_kWh
DESHPDHK0000lce9,25,V5 - V2,-17.86763292609056,annual_heating_kWh
DESHPDHK0000lce9,26,V5 - V2,-9.673436847824924,annual_heating_kWh
DESHPDHK0000lce9,28,V5 - V2,-10.152296498075165,annual_heating_kWh
DESHPDHK0000lce9,59,V5 - V2,-6.179101896883207,annual_heating_kWh
DESHPDHK0000lce9,43,V3 - V2,-4.964441650390626,peak_heating_kW
DESHPDHK0000lce9,39,V3 - V2,-1.1432548217773402,peak_heating_kW
DESHPDHK0000lce9,42,V3 - V2,-6.3003818359375,peak_heating_kW
DESHPDHK0000lce9,41,V3 - V2,1.7397246093750027,peak_heating_kW
DESHPDHK0000lce9,40,V3 - V2,-0.6487978515624988,peak_heating_kW
DESHPDHK0000lce9,38,V3 - V2,-6.252634887695322,peak_heating_kW
DESHPDHK0000lce9,32,V3 - V2,2.465183532714846,peak_heating_kW
DESHPDHK0000lce9,36,V3 - V2,-3.9900307617187494,peak_heating_kW
DESHPDHK0000lce9,35,V3 - V2,-2.08121920776367,peak_heating_kW
DESHPDHK0000lce9,34,V3 - V2,-1.327177795410158,peak_heating_kW
DESHPDHK0000lce9,33,V3 - V2,0.4014467773437502,peak_heating_kW
DESHPDHK0000lce9,44,V3 - V2,0.5620770874023435,peak_heating_kW
DESHPDHK0000lce9,37,V3 - V2,-2.5973410644531256,peak_heating_kW
DESHPDHK0000lce9,45,V3 - V2,-1.6106539306640713,peak_heating_kW
DESHPDHK0000lce9,59,V3 - V2,-0.12077020263672011,peak_heating_kW
DESHPDHK0000lce9,47,V3 - V2,0.68352874755859,peak_heating_kW
DESHPDHK0000lce9,48,V3 - V2,0.28250610351561534,peak_heating_kW
DESHPDHK0000lce9,49,V3 - V2,-5.974608642578133,peak_heating_kW
DESHPDHK0000lce9,50,V3 - V2,1.7484467163085924,peak_heating_kW
DESHPDHK0000lce9,51,V3 - V2,-0.7397280273437445,peak_heating_kW
DESHPDHK0000lce9,52,V3 - V2,0.02899108886718693,peak_heating_kW
DESHPDHK0000lce9,53,V3 - V2,1.342057128906255,peak_heating_kW
DESHPDHK0000lce9,54,V3 - V2,-0.05168054199218375,peak_heating_kW
DESHPDHK0000lce9,55,V3 - V2,4.001588851928716,peak_heating_kW
DESHPDHK0000lce9,56,V3 - V2,0.3595256347656175,peak_heating_kW
DESHPDHK0000lce9,57,V3 - V2,-4.865065063476578,peak_heating_kW
DESHPDHK0000lce9,58,V3 - V2,-0.833136840820309,peak_heating_kW
DESHPDHK0000lce9,31,V3 - V2,-1.6567023925781257,peak_heating_kW
DESHPDHK0000lce9,46,V3 - V2,0.6981600341796934,peak_heating_kW
DESHPDHK0000lce9,30,V3 - V2,-3.5258059082031252,peak_heating_kW
DESHPDHK0000lce9,29,V3 - V2,-3.2382211914062538,peak_heating_kW
DESHPDHK0000lce9,28,V3 - V2,0.12886407470703176,peak_heating_kW
DESHPDHK0000lce9,1,V3 - V2,-2.7354824218750053,peak_heating_kW
DESHPDHK0000lce9,2,V3 - V2,0.2710153808593816,peak_heating_kW
DESHPDHK0000lce9,3,V3 - V2,-0.3163833007812542,peak_heating_kW
DESHPDHK0000lce9,4,V3 - V2,-4.192885375976573,peak_heating_kW
DESHPDHK0000lce9,5,V3 - V2,-2.710564941406261,peak_heating_kW
DESHPDHK0000lce9,6,V3 - V2,-5.890376098632814,peak_heating_kW
DESHPDHK0000lce9,7,V3 - V2,2.0299281616210934,peak_heating_kW
DESHPDHK0000lce9,8,V3 - V2,4.992270385742188,peak_heating_kW
DESHPDHK0000lce9,9,V3 - V2,3.5059339599609416,peak_heating_kW
DESHPDHK0000lce9,10,V3 - V2,-0.2194326171875005,peak_heating_kW
DESHPDHK0000lce9,11,V3 - V2,5.512235351562509,peak_heating_kW
DESHPDHK0000lce9,12,V3 - V2,0.9741185302734294,peak_heating_kW
DESHPDHK0000lce9,13,V3 - V2,3.616950805664061,peak_heating_kW
DESHPDHK0000lce9,0,V3 - V2,-0.6375206298828076,peak_heating_kW
DESHPDHK0000lce9,15,V3 - V2,-1.7300454101562508,peak_heating_kW
DESHPDHK0000lce9,14,V3 - V2,-2.828090332031252,peak_heating_kW
DESHPDHK0000lce9,27,V3 - V2,-1.87735742187499,peak_heating_kW
DESHPDHK0000lce9,26,V3 - V2,-0.6238988037109436,peak_heating_kW
DESHPDHK0000lce9,25,V3 - V2,-1.2579542236328223,peak_heating_kW
DESHPDHK0000lce9,23,V3 - V2,1.5972431030273384,peak_heating_kW
DESHPDHK0000lce9,22,V3 - V2,1.6711169128417964,peak_heating_kW
DESHPDHK0000lce9,24,V3 - V2,-2.504794769287109,peak_heating_kW
DESHPDHK0000lce9,20,V3 - V2,-1.1679114074707044,peak_heating_kW
DESHPDHK0000lce9,19,V3 - V2,2.376503906250008,peak_heating_kW
DESHPDHK0000lce9,18,V3 - V2,-0.9669030151367153,peak_heating_kW
DESHPDHK0000lce9,17,V3 - V2,-0.6955534667968735,peak_heating_kW
DESHPDHK0000lce9,16,V3 - V2,-2.754418212890627,peak_heating_kW
DESHPDHK0000lce9,21,V3 - V2,0.6354589843749991,peak_heating_kW
DESHPDHK0000lce9,38,V5 - V3,10.379670837402358,peak_heating_kW
DESHPDHK0000lce9,41,V5 - V3,5.99209545898438,peak_heating_kW
DESHPDHK0000lce9,40,V5 - V3,1.458471313476565,peak_heating_kW
DESHPDHK0000lce9,39,V5 - V3,-0.4450325775146524,peak_heating_kW
DESHPDHK0000lce9,37,V5 - V3,-0.04520413208007312,peak_heating_kW
DESHPDHK0000lce9,31,V5 - V3,7.937443176269539,peak_heating_kW
DESHPDHK0000lce9,35,V5 - V3,0.6086147155761736,peak_heating_kW
DESHPDHK0000lce9,34,V5 - V3,1.8938925476074218,peak_heating_kW
DESHPDHK0000lce9,33,V5 - V3,5.842229553222651,peak_heating_kW
DESHPDHK0000lce9,32,V5 - V3,2.5521910095214864,peak_heating_kW
DESHPDHK0000lce9,42,V5 - V3,9.597315307617194,peak_heating_kW
DESHPDHK0000lce9,36,V5 - V3,1.2706576690673828,peak_heating_kW
DESHPDHK0000lce9,43,V5 - V3,2.4995723876953093,peak_heating_kW
DESHPDHK0000lce9,50,V5 - V3,1.620581848144532,peak_heating_kW
DESHPDHK0000lce9,45,V5 - V3,8.464466186523438,peak_heating_kW
DESHPDHK0000lce9,46,V5 - V3,4.153207397460932,peak_heating_kW
DESHPDHK0000lce9,47,V5 - V3,1.1615211181640674,peak_heating_kW
DESHPDHK0000lce9,48,V5 - V3,7.58822583007813,peak_heating_kW
DESHPDHK0000lce9,49,V5 - V3,0.9528803710937552,peak_heating_kW
DESHPDHK0000lce9,51,V5 - V3,3.654331481933596,peak_heating_kW
DESHPDHK0000lce9,52,V5 - V3,0.9631697082519537,peak_heating_kW
DESHPDHK0000lce9,53,V5 - V3,0.36908929443359284,peak_heating_kW
DESHPDHK0000lce9,54,V5 - V3,1.6528742980957034,peak_heating_kW
DESHPDHK0000lce9,55,V5 - V3,0.7319393615722589,peak_heating_kW
DESHPDHK0000lce9,56,V5 - V3,5.225854980468739,peak_heating_kW
DESHPDHK0000lce9,57,V5 - V3,6.850915832519547,peak_heating_kW
DESHPDHK0000lce9,30,V5 - V3,0.7750408325195295,peak_heating_kW
DESHPDHK0000lce9,44,V5 - V3,-0.05835061645507977,peak_heating_kW
DESHPDHK0000lce9,29,V5 - V3,3.3397785034179748,peak_heating_kW
DESHPDHK0000lce9,15,V5 - V3,1.4950521850585972,peak_heating_kW
DESHPDHK0000lce9,27,V5 - V3,4.112862243652344,peak_heating_kW
DESHPDHK0000lce9,0,V5 - V3,1.660322113037111,peak_heating_kW
DESHPDHK0000lce9,1,V5 - V3,6.540643920898432,peak_heating_kW
DESHPDHK0000lce9,2,V5 - V3,0.7256451721191368,peak_heating_kW
DESHPDHK0000lce9,3,V5 - V3,0.5132052917480436,peak_heating_kW
DESHPDHK0000lce9,4,V5 - V3,3.6509712524414084,peak_heating_kW
DESHPDHK0000lce9,5,V5 - V3,-0.18067486572265068,peak_heating_kW
DESHPDHK0000lce9,6,V5 - V3,3.7136019287109434,peak_heating_kW
DESHPDHK0000lce9,7,V5 - V3,-0.016466445922851847,peak_heating_kW
DESHPDHK0000lce9,8,V5 - V3,1.4677604370117052,peak_heating_kW
DESHPDHK0000lce9,9,V5 - V3,0.8746082153320316,peak_heating_kW
DESHPDHK0000lce9,10,V5 - V3,1.0671900634765663,peak_heating_kW
DESHPDHK0000lce9,11,V5 - V3,9.100948669433592,peak_heating_kW
DESHPDHK0000lce9,12,V5 - V3,7.039317504882803,peak_heating_kW
DESHPDHK0000lce9,13,V5 - V3,7.042943237304698,peak_heating_kW
DESHPDHK0000lce9,14,V5 - V3,8.295553833007816,peak_heating_kW
DESHPDHK0000lce9,58,V5 - V3,12.811643127441407,peak_heating_kW
DESHPDHK0000lce9,16,V5 - V3,7.074629516601561,peak_heating_kW
DESHPDHK0000lce9,17,V5 - V3,1.4968126525878915,peak_heating_kW
DESHPDHK0000lce9,18,V5 - V3,1.0755369262695353,peak_heating_kW
DESHPDHK0000lce9,19,V5 - V3,6.567191162109367,peak_heating_kW
DESHPDHK0000lce9,20,V5 - V3,-0.8741037139892569,peak_heating_kW
DESHPDHK0000lce9,21,V5 - V3,1.14765609741211,peak_heating_kW
DESHPDHK0000lce9,22,V5 - V3,1.3248077697753935,peak_heating_kW
DESHPDHK0000lce9,23,V5 - V3,-0.10773257446288653,peak_heating_kW
DESHPDHK0000lce9,24,V5 - V3,1.6488771362304675,peak_heating_kW
DESHPDHK0000lce9,25,V5 - V3,3.385736328125006,peak_heating_kW
DESHPDHK0000lce9,26,V5 - V3,0.5002269897460963,peak_heating_kW
DESHPDHK0000lce9,28,V5 - V3,-0.19584796142578398,peak_heating_kW
DESHPDHK0000lce9,59,V5 - V3,0.9569833984375009,peak_heating_kW
DESHPDHK0000lce9,38,V5 - V2,4.127035949707036,peak_heating_kW
DESHPDHK0000lce9,41,V5 - V2,7.731820068359383,peak_heating_kW
DESHPDHK0000lce9,40,V5 - V2,0.8096734619140662,peak_heating_kW
DESHPDHK0000lce9,39,V5 - V2,-1.5882873992919926,peak_heating_kW
DESHPDHK0000lce9,37,V5 - V2,-2.6425451965331987,peak_heating_kW
DESHPDHK0000lce9,31,V5 - V2,6.280740783691414,peak_heating_kW
DESHPDHK0000lce9,35,V5 - V2,-1.4726044921874966,peak_heating_kW
