base_building_group,variant,sample_id,annual_heating_kWh_mean,annual_heating_kWh_std,annual_heating_kWh_min,annual_heating_kWh_max,peak_heating_kW_mean,peak_heating_kW_std,peak_heating_kW_min,peak_heating_kW_max,overheating_hours_any_zone_gt_26C_mean,overheating_hours_any_zone_gt_26C_std,overheating_hours_any_zone_gt_26C_min,overheating_hours_any_zone_gt_26C_max,mean_interzone_spread_C_mean,mean_interzone_spread_C_std,mean_interzone_spread_C_min,mean_interzone_spread_C_max
DESHPDHK0000lce9,V2,0,91138.79526050665,1708.063908886191,89496.98909070033,93310.48838257192,48.19339965820312,0.7398683960892123,47.57105712890625,49.0450654296875,2435.5,37.224543874528116,2389.0,2474.0,3.980065841161013,0.09019427902314288,3.8725425564335207,4.076634149602555
DESHPDHK0000lce9,V2,32,73399.42444172253,1482.5250593870107,72058.13865846115,75164.20766873384,44.12274340820312,0.4704039765272622,43.70474609375,44.72712451171875,2362.0,44.90731195102493,2305.0,2404.0,3.824808054326293,0.09604414230054016,3.7140380803641504,3.916921573147331
DESHPDHK0000lce9,V2,33,92574.25577125468,2138.8349975724436,90038.03518268872,95153.61802532962,76.26215795898437,0.14067676247177424,76.05526953125,76.3575439453125,238.5,17.0,215.0,255.0,8.8344937853448,0.015634020602334545,8.812574202197151,8.84615439920172
DESHPDHK0000lce9,V2,34,77745.18293256147,1803.552882951611,76044.36637162179,79694.05293626187,46.11009045410157,0.4899851039828676,45.77044873046875,46.83761865234375,2372.5,41.2270137975899,2330.0,2428.0,4.0990868098060105,0.08931954549858054,4.012634371394043,4.184469779704399
DESHPDHK0000lce9,V2,35,36177.69091094835,1612.4831065000853,34563.483265174895,37935.486144557806,30.31706982421875,1.3385601566891647,29.0982607421875,31.85339990234375,2475.5,43.285871444001984,2423.0,2522.0,4.437805464898816,0.040762786705112304,4.377688190733214,4.468176174784291
DESHPDHK0000lce9,V2,36,45151.719050225445,1984.8649739288996,43434.85159594327,47342.622487697816,35.41513317871094,0.6914139835359218,34.69075830078125,36.34565087890625,2634.25,56.74724662924183,2562.0,2682.0,4.642807929051287,0.04749387491930552,4.578151431615417,4.691811780926285
DESHPDHK0000lce9,V2,37,103805.12878744319,1896.2695475920261,102038.4766438034,106052.12597612178,50.36098999023437,0.9737390746425991,49.529115234375,51.601763671875,2439.0,37.10345895825168,2397.0,2486.0,4.347269353223249,0.08859261621555145,4.262431895048459,4.436191293668319
DESHPDHK0000lce9,V2,38,240312.247676399,2623.1302422654503,237851.90822147284,243250.83009101197,88.1479052734375,0.15426434060016692,87.9806259765625,88.2864111328125,207.0,23.65022903342234,172.0,224.0,6.875336016439549,0.018629700337268795,6.851300573419758,6.89116517959454
DESHPDHK0000lce9,V2,39,117899.50549585882,2028.8782132546792,115781.68177593326,120036.19185163033,52.3791865234375,0.561292622246006,51.9404150390625,53.11383984375,2295.0,35.86084215408225,2268.0,2347.0,4.742419732813015,0.061089621021027614,4.669868092166278,4.797306906808228
DESHPDHK0000lce9,V2,40,73114.43875839819,1394.8077641868897,71595.47575134617,74864.17105986337,43.337001953125,0.4529424107033026,42.9929384765625,43.94795751953125,2412.25,23.386249521175134,2382.0,2437.0,3.420556447125234,0.054894748105215954,3.346704767577904,3.4656440970859865
