kpi,variant,p05,p50,p95,mean,std,n_samples
annual_heating_kWh,V2,35.283843314913526,103.70663247853206,245.2877649108765,139.01180187869824,76.54794771845701,60
annual_heating_kWh,V3,37.43818080169402,105.33052201910665,243.50501327890586,137.85074969147118,75.70610173007218,60
annual_heating_kWh,V5,30.946883763082376,99.59486047549314,231.57397545395716,129.59499556676155,72.95142084471152,60
peak_heating_kW,V2,30.449430209350588,57.813447875976564,87.86332679443359,61.29530730285646,18.966317441266327,60
peak_heating_kW,V3,30.72878623352051,56.09466427612305,83.2467705078125,60.571868149566654,18.42144566867197,60
peak_heating_kW,V5,32.06979747161866,62.29665809631348,88.97929932556151,63.753590571339934,20.559509928208833,60
overheating_hours_any_zone_gt_26C,V2,72.95,1277.125,2617.8624999999997,1272.0375,1121.1970901155044,60
overheating_hours_any_zone_gt_26C,V3,90.5625,1412.375,2763.525,1363.4916666666666,1165.8687456711277,60
overheating_hours_any_zone_gt_26C,V5,299.6875,1857.5,3390.3624999999997,1744.125,1267.0289989223488,60
mean_interzone_spread_C,V2,3.793028865117972,5.719510486308008,8.017139022255884,5.704957147398048,1.5868902690353197,60
mean_interzone_spread_C,V3,4.062787228198838,5.827250792084594,8.147661373084874,6.021181394698002,1.5105968063208686,60
mean_interzone_spread_C,V5,4.78229714149673,6.237409648932276,9.043167503826316,6.550405998391087,1.4278977572286158,60
