model,MAE_m2,RMSE_m2,Bias_m2,R2
Piecewise linear K4,7.018420735794696,10.834343115713452,-1.0542314870716363,0.2656472495521137
Piecewise linear K3,7.257169747969607,10.969185664769135,-2.0889347586181684,0.24725421881708498
Piecewise linear K5,7.428309651301435,10.999262099407877,-1.4262958351147914,0.2431206489808052
Piecewise linear K6,7.454364122885179,10.970299983735293,-1.8897014775092336,0.24710127373409696
Piecewise linear K2,7.941652846349973,11.486847044590817,-1.258891772394882,0.17453011918438777
Simple linear regression,9.310088047353123,12.043069478283913,-1.0303717253754543,0.09265188976157401
Constant training mean,9.917849166666667,12.700927779883438,-1.2116333333333371,-0.009184213707454036
