base_building_group,weather_key,sample_id,datetime,heat_kW_seed_mean
DESHPDHK0000lce9,TRY_A,2,2021-01-01 00:00:00,8.731743489583334
DESHPDHK0000lce9,TRY_A,2,2021-01-01 01:00:00,18.410812500000002
DESHPDHK0000lce9,TRY_A,2,2021-01-01 02:00:00,18.601978515625003
DESHPDHK0000lce9,TRY_A,2,2021-01-01 03:00:00,18.343666015625
DESHPDHK0000lce9,TRY_A,2,2021-01-01 04:00:00,18.46125260416667
DESHPDHK0000lce9,TRY_A,2,2021-01-01 05:00:00,19.020220703125002
DESHPDHK0000lce9,TRY_A,2,2021-01-01 06:00:00,17.56825911458333
DESHPDHK0000lce9,TRY_A,2,2021-01-01 07:00:00,16.71191796875
DESHPDHK0000lce9,TRY_A,2,2021-01-01 08:00:00,15.615751302083332
DESHPDHK0000lce9,TRY_A,2,2021-01-01 09:00:00,23.832796223958336
DESHPDHK0000lce9,TRY_A,2,2021-01-01 10:00:00,21.815999348958332
DESHPDHK0000lce9,TRY_A,2,2021-01-01 11:00:00,19.101105468750003
DESHPDHK0000lce9,TRY_A,2,2021-01-01 12:00:00,11.922989908854168
DESHPDHK0000lce9,TRY_A,2,2021-01-01 13:00:00,13.701955078125001
DESHPDHK0000lce9,TRY_A,2,2021-01-01 14:00:00,17.157767578125
DESHPDHK0000lce9,TRY_A,2,2021-01-01 15:00:00,22.446170572916667
DESHPDHK0000lce9,TRY_A,2,2021-01-01 16:00:00,18.692132161458332
DESHPDHK0000lce9,TRY_A,2,2021-01-01 17:00:00,19.16392903645833
DESHPDHK0000lce9,TRY_A,2,2021-01-01 18:00:00,17.89905078125
DESHPDHK0000lce9,TRY_A,2,2021-01-01 19:00:00,18.642934895833335
DESHPDHK0000lce9,TRY_A,2,2021-01-01 20:00:00,19.039048177083334
DESHPDHK0000lce9,TRY_A,2,2021-01-01 21:00:00,21.393639973958333
DESHPDHK0000lce9,TRY_A,2,2021-01-01 22:00:00,24.37948763020833
DESHPDHK0000lce9,TRY_A,2,2021-01-01 23:00:00,25.727038411458334
DESHPDHK0000lce9,TRY_A,2,2021-01-02 00:00:00,24.95942903645833
DESHPDHK0000lce9,TRY_A,2,2021-01-02 01:00:00,26.937380859375
DESHPDHK0000lce9,TRY_A,2,2021-01-02 02:00:00,27.0711328125
DESHPDHK0000lce9,TRY_A,2,2021-01-02 03:00:00,28.635219401041667
DESHPDHK0000lce9,TRY_A,2,2021-01-02 04:00:00,26.809725911458333
DESHPDHK0000lce9,TRY_A,2,2021-01-02 05:00:00,26.4427109375
DESHPDHK0000lce9,TRY_A,2,2021-01-02 06:00:00,23.22959635416667
DESHPDHK0000lce9,TRY_A,2,2021-01-02 07:00:00,22.719677083333334
DESHPDHK0000lce9,TRY_A,2,2021-01-02 08:00:00,22.95459375
DESHPDHK0000lce9,TRY_A,2,2021-01-02 09:00:00,21.205259765625
DESHPDHK0000lce9,TRY_A,2,2021-01-02 10:00:00,17.381028645833336
DESHPDHK0000lce9,TRY_A,2,2021-01-02 11:00:00,15.221902018229166
DESHPDHK0000lce9,TRY_A,2,2021-01-02 12:00:00,12.939236979166665
DESHPDHK0000lce9,TRY_A,2,2021-01-02 13:00:00,11.3043232421875
DESHPDHK0000lce9,TRY_A,2,2021-01-02 14:00:00,8.8607919921875
DESHPDHK0000lce9,TRY_A,2,2021-01-02 15:00:00,8.315740559895834
DESHPDHK0000lce9,TRY_A,2,2021-01-02 16:00:00,11.01361328125
DESHPDHK0000lce9,TRY_A,2,2021-01-02 17:00:00,12.009168945312501
DESHPDHK0000lce9,TRY_A,2,2021-01-02 18:00:00,13.055017252604166
DESHPDHK0000lce9,TRY_A,2,2021-01-02 19:00:00,15.551552083333334
DESHPDHK0000lce9,TRY_A,2,2021-01-02 20:00:00,16.459971028645835
DESHPDHK0000lce9,TRY_A,2,2021-01-02 21:00:00,18.47025911458333
DESHPDHK0000lce9,TRY_A,2,2021-01-02 22:00:00,19.435723307291667
DESHPDHK0000lce9,TRY_A,2,2021-01-02 23:00:00,19.797904296875
DESHPDHK0000lce9,TRY_A,2,2021-01-03 00:00:00,25.52028125
DESHPDHK0000lce9,TRY_A,2,2021-01-03 01:00:00,24.259513671875
DESHPDHK0000lce9,TRY_A,2,2021-01-03 02:00:00,24.503593749999997
DESHPDHK0000lce9,TRY_A,2,2021-01-03 03:00:00,24.73146484375
DESHPDHK0000lce9,TRY_A,2,2021-01-03 04:00:00,25.730466145833333
DESHPDHK0000lce9,TRY_A,2,2021-01-03 05:00:00,25.694552083333335
DESHPDHK0000lce9,TRY_A,2,2021-01-03 06:00:00,27.114942057291668
DESHPDHK0000lce9,TRY_A,2,2021-01-03 07:00:00,21.916263020833338
DESHPDHK0000lce9,TRY_A,2,2021-01-03 08:00:00,25.828826822916668
DESHPDHK0000lce9,TRY_A,2,2021-01-03 09:00:00,25.57432161458333
DESHPDHK0000lce9,TRY_A,2,2021-01-03 10:00:00,21.982435546875
DESHPDHK0000lce9,TRY_A,2,2021-01-03 11:00:00,16.720186848958335
DESHPDHK0000lce9,TRY_A,2,2021-01-03 12:00:00,14.695824544270835
DESHPDHK0000lce9,TRY_A,2,2021-01-03 13:00:00,13.6114599609375
DESHPDHK0000lce9,TRY_A,2,2021-01-03 14:00:00,12.823637044270834
DESHPDHK0000lce9,TRY_A,2,2021-01-03 15:00:00,12.578596354166669
DESHPDHK0000lce9,TRY_A,2,2021-01-03 16:00:00,13.6653388671875
DESHPDHK0000lce9,TRY_A,2,2021-01-03 17:00:00,15.632883138020832
DESHPDHK0000lce9,TRY_A,2,2021-01-03 18:00:00,17.135856770833332
DESHPDHK0000lce9,TRY_A,2,2021-01-03 19:00:00,19.118436848958336
DESHPDHK0000lce9,TRY_A,2,2021-01-03 20:00:00,22.264625651041666
DESHPDHK0000lce9,TRY_A,2,2021-01-03 21:00:00,24.843095703125
