param_label,TRY_A,TRY_B
Shading factor,0.6461518376125022,0.5222129690925664
Window g-value,0.20990625234516327,0.3549099712858207
YOC shift,0.06322633065245013,0.019801881696918044
Base ACH,0.0423496892553869,0.008024694940343568
Gains scale,0.023627775521549155,0.028020367294437857
Mean setpoint,0.0001102965512860153,0.009319568876930289
