variant,building_id,seed,param,TRY_A,TRY_B
V3,DESHPDHK0000lce9_3,1,baseACH,0.28653698826431334,0.5093717689135988
V3,DESHPDHK0000lce9_3,1,gWin,0.06600472297154232,0.03964422652215732
V3,DESHPDHK0000lce9_3,1,gains_scale,0.008314230044579856,0.006193598716125901
V3,DESHPDHK0000lce9_3,1,shadingFactor,0.21542590550363008,0.11790585137914181
V3,DESHPDHK0000lce9_3,1,tset_mean_C,0.18840742512353748,0.10309664152415307
V3,DESHPDHK0000lce9_3,1,yoc_shift,0.23284321321373871,0.21830226453234813
