region,assigned_zone,iou,coverage,fragmentation,purity,gt_area,pred_area,area_error_percent,centroid_distance,similarity_score,building_id
A0,2.0,0.7105508490326511,0.9984261559650186,2,0.7441345869149854,55.02415183110415,69.52770329627603,26.35851890946057,1.1642777223218836,0.760272184184627,68
A1,5.0,0.8823496541839916,0.9982188081365748,2,0.9499114237775674,67.0050330908122,65.2764020443025,2.5798525375950248,0.5017311824720637,0.9221819161862068,68
A2,4.0,0.9105233888270096,0.993829078687476,1,0.9230854126032092,66.23344352817178,70.69561657786585,6.737039193494641,0.3869449217861407,0.9287454733851146,68
A3,3.0,0.7591461990775576,0.989633252235184,2,0.992084231122717,83.45000985196118,64.24537429073513,23.01334127496777,1.4454099134575475,0.7859044985149206,68
S0,1.0,0.8460787485650073,1.0,1,0.8611861773855379,11.46363890203307,13.041059416780042,13.760207628898865,0.0876273034113293,0.8864481726249732,68
S1,0.0,0.9386241951201276,1.0000000000000002,1,0.9469886762991168,11.651036082188869,12.188549870003598,4.613441963641636,0.1056508953140015,0.9551372202681098,68
A0,1.0,0.889755041036986,0.998285788924459,1,0.8982847043907366,73.71355933450258,81.1938483628717,10.14777891055911,0.5326112248214241,0.9061927926215596,75
A1,2.0,0.8864656537658837,0.9978111818479894,2,0.9979191553702648,91.93542960710134,81.81877556273774,11.004086332764754,0.6752597630859382,0.8988411169738815,75
S0,0.0,0.7026026631980427,1.0,2,0.7512320783934113,11.909478634877184,14.515871068371384,21.88502547761677,0.2775591161354226,0.7896497900015939,75
A0,7.0,0.8236814441053529,0.99327814297811,2,0.9915178728070048,105.34415756682571,88.13333578490983,16.33770887673395,0.9042500352393732,0.8483901989798572,176
A1,2.0,0.4512170621014133,0.9921431918484906,2,0.9978806779775512,100.87096948189262,45.655119215721086,54.73908950194372,2.7094588525723324,0.521024335981539,176
A2,4.0,0.6485992967329484,0.9968450010293508,2,0.9748915032057504,84.84859542564472,57.40912399828233,32.33933489377369,1.7486601177903838,0.6997348081872803,176
A3,5.0,0.5253391975558467,0.996569039952581,2,0.7475141072767598,86.41996214486704,73.83600543995308,14.561400390131263,2.438537438193128,0.665302661847767,176
S0,0.0,0.8639018509682763,1.0,2,0.9069615578351142,11.372707767082174,11.886131056563084,4.514521079729069,0.1380168290109309,0.9172142020595422,176
