variant,building_id,weather_key,sample_id,seed,run_dir,year,n_timesteps,dt_hours,n_zones,wwr_factor,gains_scale,weather_key_meta,sa_tabula_year_class,sa_tset_mean_K,sa_tset_spread_K,sa_retrofit_state,sa_retrofit_is_standard,annual_heating_kWh,peak_heating_kW,annual_cooling_kWh,peak_cooling_kW,mean_tair_C,max_tair_C,mean_tsetheat_C,overheating_hours_meanTair_gt_26C,underheating_hours_meanTair_below_meanTset,mean_interzone_spread_C,max_interzone_spread_C,overheating_hours_any_zone_gt_26C
V1,DESHPDHK0000lce9_1,TRY_B,11,1,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0011\seed_1,2021,8761,1.0,1,0.8757885436337143,0.8519686021341887,TRY_B,5,294.11782458525266,1.316099493250095,standard,True,181575.7205529058,61.40644140625,0.0,0.0,21.267737647532183,26.573846435546898,20.969995117187523,6.0,2673.0,0.0,0.0,6.0
V1,DESHPDHK0000lce9_1,TRY_B,11,2,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0011\seed_2,2021,8761,1.0,1,0.8757885436337143,0.8519686021341887,TRY_B,5,294.11782458525266,1.316099493250095,standard,True,177709.82990229034,61.25218359375,0.0,0.0,21.28244884792713,26.919641113281273,20.969995117187523,9.0,2597.0,0.0,0.0,9.0
V1,DESHPDHK0000lce9_1,TRY_B,11,3,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0011\seed_3,2021,8761,1.0,1,0.8757885436337143,0.8519686021341887,TRY_B,5,294.11782458525266,1.316099493250095,standard,True,177358.21003744888,61.38141796875,0.0,0.0,21.27957688292309,26.801629638671898,20.969995117187523,7.0,2634.0,0.0,0.0,7.0
V1,DESHPDHK0000lce9_1,TRY_B,12,1,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0012\seed_1,2021,8761,1.0,1,0.9902819704903735,0.8907637396203537,TRY_B,5,294.6250130173052,1.1492705082649117,standard,True,188776.18039643002,66.0906484375,0.0,0.0,21.76677023577728,27.142297363281273,21.480004882812523,17.0,3485.0,0.0,0.0,17.0
V1,DESHPDHK0000lce9_1,TRY_B,12,2,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0012\seed_2,2021,8761,1.0,1,0.9902819704903735,0.8907637396203537,TRY_B,5,294.6250130173052,1.1492705082649117,standard,True,184808.3591122985,65.9945390625,0.0,0.0,21.78047458947816,27.401940917968773,21.480004882812523,19.0,3425.0,0.0,0.0,19.0
V1,DESHPDHK0000lce9_1,TRY_B,12,3,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0012\seed_3,2021,8761,1.0,1,0.9902819704903735,0.8907637396203537,TRY_B,5,294.6250130173052,1.1492705082649117,standard,True,184391.60924149514,66.0724375,0.0,0.0,21.777764269059546,27.314111328125023,21.480004882812523,18.0,3440.0,0.0,0.0,18.0
V1,DESHPDHK0000lce9_1,TRY_B,16,1,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0016\seed_1,2021,8761,1.0,1,1.1219057429987207,0.9549913516120698,TRY_B,5,293.7795466999801,0.8393237984710207,standard,True,166929.57026643373,58.95357421875,0.0,0.0,21.09889184372461,27.627770996093716,20.629998779296898,36.0,2854.0,0.0,0.0,36.0
V1,DESHPDHK0000lce9_1,TRY_B,16,2,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0016\seed_2,2021,8761,1.0,1,1.1219057429987207,0.9549913516120698,TRY_B,5,293.7795466999801,0.8393237984710207,standard,True,163145.9585922117,58.798421875,0.0,0.0,21.119477348732598,27.845086669921898,20.629998779296898,51.0,2795.0,0.0,0.0,51.0
V1,DESHPDHK0000lce9_1,TRY_B,16,3,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0016\seed_3,2021,8761,1.0,1,1.1219057429987207,0.9549913516120698,TRY_B,5,293.7795466999801,0.8393237984710207,standard,True,162767.93867548992,58.92721875,0.0,0.0,21.116478447184278,27.778710937500023,20.629998779296898,47.0,2810.0,0.0,0.0,47.0
V1,DESHPDHK0000lce9_1,TRY_B,17,1,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0017\seed_1,2021,8761,1.0,1,0.9153312415720977,1.0729982015899902,TRY_B,5,294.00382413415696,1.8559371822267299,standard,True,174972.4494526743,60.3495,0.0,0.0,21.196369523569942,26.900170898437523,20.850000000000023,8.0,2996.0,0.0,0.0,8.0
V1,DESHPDHK0000lce9_1,TRY_B,17,2,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0017\seed_2,2021,8761,1.0,1,0.9153312415720977,1.0729982015899902,TRY_B,5,294.00382413415696,1.8559371822267299,standard,True,170922.48440008878,60.19691015625,0.0,0.0,21.215024409464505,27.228570556640648,20.850000000000023,13.0,2934.0,0.0,0.0,13.0
V1,DESHPDHK0000lce9_1,TRY_B,17,3,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0017\seed_3,2021,8761,1.0,1,0.9153312415720977,1.0729982015899902,TRY_B,5,294.00382413415696,1.8559371822267299,standard,True,170466.71497076988,60.3321015625,0.0,0.0,21.21215125315676,27.125543212890648,20.850000000000023,9.0,2977.0,0.0,0.0,9.0
V1,DESHPDHK0000lce9_1,TRY_B,18,1,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0018\seed_1,2021,8761,1.0,1,0.855900993443724,0.8799632809900434,TRY_B,5,294.1546509747472,0.8129223162871597,standard,True,182285.53290806388,61.59722265625,0.0,0.0,21.288379370231464,26.503167724609398,20.999993896484398,6.0,2579.0,0.0,0.0,6.0
V1,DESHPDHK0000lce9_1,TRY_B,18,2,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0018\seed_2,2021,8761,1.0,1,0.855900993443724,0.8799632809900434,TRY_B,5,294.1546509747472,0.8129223162871597,standard,True,178372.19086738015,61.44502734375,0.0,0.0,21.302936066896507,26.863366699218773,20.999993896484398,8.0,2533.0,0.0,0.0,8.0
V1,DESHPDHK0000lce9_1,TRY_B,18,3,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0018\seed_3,2021,8761,1.0,1,0.855900993443724,0.8799632809900434,TRY_B,5,294.1546509747472,0.8129223162871597,standard,True,178007.68794302916,61.57198046875,0.0,0.0,21.30015552922645,26.740258789062523,20.999993896484398,7.0,2579.0,0.0,0.0,7.0
V1,DESHPDHK0000lce9_1,TRY_B,0,2,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0000\seed_2,2021,8761,1.0,1,1.129104645308332,0.9773656795309325,TRY_B,5,294.16835551224983,0.9950452772842244,standard,True,170357.42461107683,62.19862890625,0.0,0.0,21.45290752716119,27.881585693359398,21.020013427734398,58.0,3981.0,0.0,0.0,58.0
V1,DESHPDHK0000lce9_1,TRY_B,0,1,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0000\seed_1,2021,8761,1.0,1,1.129104645308332,0.9773656795309325,TRY_B,5,294.16835551224983,0.9950452772842244,standard,True,174247.28172920228,62.35111328125,0.0,0.0,21.434237628053328,27.669183349609398,21.020013427734398,47.0,4022.0,0.0,0.0,47.0
