building_id,variant,sample_id,annual_heating_kWh_mean,annual_heating_kWh_std,annual_heating_kWh_min,annual_heating_kWh_max,peak_heating_kW_mean,peak_heating_kW_std,peak_heating_kW_min,peak_heating_kW_max,overheating_hours_meanTair_gt_26C_mean,overheating_hours_meanTair_gt_26C_std,overheating_hours_meanTair_gt_26C_min,overheating_hours_meanTair_gt_26C_max,mean_interzone_spread_C_mean,mean_interzone_spread_C_std,mean_interzone_spread_C_min,mean_interzone_spread_C_max,weather_key,wwr_factor,gains_scale,sa_tabula_year_class,sa_tset_mean_K,sa_tset_spread_K,sa_retrofit_state,sa_retrofit_is_standard,n_zones
DESHPDHK0000lce9_3,V1,3,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_3,V1,2,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_3,V1,10,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_4,V1,1,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_4,V1,2,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_4,V1,3,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_2,V1,17,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_2,V1,18,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_2,V1,19,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_4,V1,19,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_4,V1,18,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_4,V1,17,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_4,V1,16,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_4,V1,15,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_4,V1,14,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_4,V1,13,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_4,V1,12,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_4,V1,11,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_4,V1,10,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_4,V1,9,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_4,V1,8,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_4,V1,7,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_4,V1,6,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_4,V1,5,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_4,V1,4,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_8,V1,6,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_8,V1,7,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_3,V1,0,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_8,V1,9,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_8,V1,19,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_8,V1,18,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_8,V1,17,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_8,V1,16,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_8,V1,8,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_1,V1,18,179555.13723949107,2371.605147507908,178007.68794302916,182285.53290806388,61.53807682291667,0.08156559438474736,61.44502734375,61.59722265625,7.0,1.0,6.0,8.0,0.0,0.0,0.0,0.0,TRY_B,0.855900993443724,0.8799632809900434,5.0,294.1546509747472,0.8129223162871597,standard,True,1.0
DESHPDHK0000lce9_1,V1,17,172120.54960784432,2480.3086475036484,170466.71497076988,174972.4494526743,60.29283723958333,0.0835295181028286,60.19691015625,60.3495,10.0,2.6457513110645907,8.0,13.0,0.0,0.0,0.0,0.0,TRY_B,0.9153312415720977,1.0729982015899902,5.0,294.00382413415696,1.8559371822267299,standard,True,1.0
DESHPDHK0000lce9_1,V1,16,164281.1558447118,2301.3689352748743,162767.93867548992,166929.57026643373,58.893071614583334,0.08302157903612903,58.798421875,58.95357421875,44.666666666666664,7.767453465154029,36.0,51.0,0.0,0.0,0.0,0.0,TRY_B,1.1219057429987207,0.9549913516120698,5.0,293.7795466999801,0.8393237984710207,standard,True,1.0
DESHPDHK0000lce9_1,V1,15,19726.50882705744,1554.0273546989372,18722.811277314664,21516.55185771203,22.292283203125,1.0665418808319562,21.661185546875,23.52369140625,2572.3333333333335,26.633312473917634,2543.0,2595.0,0.0,0.0,0.0,0.0,TRY_A,0.9249466565528164,1.1329039205580804,5.0,293.7933835247956,1.0197474106288174,retrofit,False,1.0
DESHPDHK0000lce9_1,V1,14,65865.40409609898,1802.8719142885452,64689.34693983459,67941.05302675057,39.08160286458333,0.03821383260230092,39.0387421875,39.1121171875,2132.3333333333335,20.231987873991322,2109.0,2145.0,0.0,0.0,0.0,0.0,TRY_A,1.133071278423135,1.0801060408008996,5.0,294.0836738213191,0.9687277729782862,standard,True,1.0
DESHPDHK0000lce9_1,V1,13,73058.01085018588,1835.81842263849,71861.55174792481,75171.69198198844,40.042661458333335,0.1420604195980207,39.936578125,40.20405859375,2056.6666666666665,18.82374387132737,2035.0,2069.0,0.0,0.0,0.0,0.0,TRY_A,1.0679255978730042,0.9748607675489322,5.0,294.41331053736974,0.925296360898044,standard,True,1.0
DESHPDHK0000lce9_1,V1,12,185992.0495834079,2420.115369505798,184391.60924149514,188776.18039643002,66.05254166666667,0.05105032936958914,65.9945390625,66.0906484375,18.0,1.0,17.0,19.0,0.0,0.0,0.0,0.0,TRY_B,0.9902819704903735,0.8907637396203537,5.0,294.6250130173052,1.1492705082649117,standard,True,1.0
DESHPDHK0000lce9_1,V1,11,178881.2534975483,2340.0905253094124,177358.21003744888,181575.7205529058,61.34668098958334,0.08278805149622039,61.25218359375,61.40644140625,7.333333333333333,1.5275252316519465,6.0,9.0,0.0,0.0,0.0,0.0,TRY_B,0.8757885436337143,0.8519686021341887,5.0,294.11782458525266,1.316099493250095,standard,True,1.0
DESHPDHK0000lce9_1,V1,10,74121.99602660512,1844.6378960097895,72922.87365908264,76246.11226944947,39.67110286458333,0.09130484495424082,39.604203125,39.77512109375,1971.6666666666667,17.21433511156713,1952.0,1984.0,0.0,0.0,0.0,0.0,TRY_A,0.9481838824139476,0.9878223245103231,5.0,294.28653069195923,1.598985319869216,standard,True,1.0
DESHPDHK0000lce9_1,V1,19,28309.815766446194,1831.7064878509304,27114.283432451488,30418.59996325493,25.324532552083337,0.9267008917137141,24.307580078125,26.12133203125,2416.3333333333335,25.42308662089119,2387.0,2432.0,0.0,0.0,0.0,0.0,TRY_A,0.8029449079004023,1.1147697510008554,5.0,294.6235494851678,1.0958892754048333,retrofit,False,1.0
DESHPDHK0000lce9_1,V1,8,174447.89664714815,2519.113376622541,172746.91013139678,177341.895681674,63.513824218749996,0.08251390300702521,63.41902734375,63.56951171875,42.666666666666664,9.073771725877467,33.0,51.0,0.0,0.0,0.0,0.0,TRY_B,1.0732195812969818,1.097904862363127,5.0,294.3277485562038,1.5074822679197077,standard,True,1.0
DESHPDHK0000lce9_8,V1,14,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_1,V1,9,67177.22200663447,1743.1356533850817,66053.53041286659,69185.27311663056,39.434891927083335,0.0739402202020891,39.3565234375,39.50341796875,2155.6666666666665,15.275252316519516,2139.0,2169.0,0.0,0.0,0.0,0.0,TRY_A,1.187003892973684,0.9303301432552608,5.0,294.16986718220073,1.7309759242710185,standard,True,1.0
DESHPDHK0000lce9_8,V1,13,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_8,V1,12,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_8,V1,11,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_8,V1,15,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_8,V1,10,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_1,V1,2,61438.07317036056,1781.9185278601667,60285.93218808985,63490.511504433634,36.24039973958333,0.021851721128277372,36.2219140625,36.264515625,2104.0,19.28730152198591,2082.0,2118.0,0.0,0.0,0.0,0.0,TRY_A,0.8255269024416702,1.1310524687970327,6.0,293.9038403001458,1.1324462823746604,standard,True,1.0
DESHPDHK0000lce9_1,V1,7,64352.54955048283,2343.6636697307204,62828.20590799046,67051.2238224144,59.4813125,0.06035248191552836,59.41248828125,59.525203125,68.66666666666667,7.767453465154029,60.0,75.0,0.0,0.0,0.0,0.0,TRY_B,0.8175215063148915,0.8617157968270192,5.0,294.5658139132884,1.0379203880565346,retrofit,False,1.0
DESHPDHK0000lce9_1,V1,6,79869.80561501144,1918.8345512872347,78619.03230871844,82079.04852344513,40.33128515625,0.1955829653493319,40.2113515625,40.5569765625,1923.3333333333333,19.347695814575285,1901.0,1935.0,0.0,0.0,0.0,0.0,TRY_A,0.8778554831407871,0.9866884014908137,5.0,294.55712551775713,1.7607089583956002,standard,True,1.0
DESHPDHK0000lce9_1,V1,3,162901.5052000033,2428.0241798114985,161281.33656437017,165693.152439312,58.244434895833336,0.08271993613800846,58.150109375,58.30462109375,28.666666666666668,6.110100926607786,22.0,34.0,0.0,0.0,0.0,0.0,TRY_B,1.0526657596488258,1.1032350960341495,5.0,293.7251811832662,0.5116085777850673,standard,True,1.0
DESHPDHK0000lce9_1,V1,4,70754.8585275782,1826.8749005175725,69564.04772875356,72858.22584069824,40.3594765625,0.5166037455057882,39.765125,40.7006875,1913.6666666666667,19.629909152447258,1891.0,1925.0,0.0,0.0,0.0,0.0,TRY_A,0.9418103872519473,1.1882792097579613,4.0,293.6704711861492,1.2285480631851473,standard,True,1.0
DESHPDHK0000lce9_1,V1,5,64197.9033389616,1797.1885576112788,63026.42831426239,66267.09001171017,38.898256510416665,0.041972635406967704,38.8666171875,38.94587109375,2165.6666666666665,17.243356208503467,2147.0,2181.0,0.0,0.0,0.0,0.0,TRY_A,1.157248448528879,1.1113533988295048,5.0,294.02229928267036,1.3248120574773004,standard,True,1.0
DESHPDHK0000lce9_1,V1,1,166625.37042181334,2392.364572611108,165051.4071284313,169378.41104818915,57.316299479166666,0.08312589123088093,57.22149609375,57.37670703125,9.0,2.0,7.0,11.0,0.0,0.0,0.0,0.0,TRY_B,0.8908954887139108,1.021833914806334,5.0,293.6614166166424,1.9434068520031045,standard,True,1.0
DESHPDHK0000lce9_2,V2,19,40609.68768508249,1965.5225000374871,38962.132902207304,42785.29758323918,31.583593343098958,1.507961247457532,30.35902001953125,33.26791650390625,2144.0,14.0,2130.0,2158.0,4.21622411336537,0.042089105326778356,4.167962445147083,4.245314919530848,TRY_A,0.8029449079004023,1.1147697510008554,5.0,294.6235494851678,1.0958892754048333,retrofit,False,6.0
DESHPDHK0000lce9_4,V2,19,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_4,V2,18,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_4,V2,16,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_2,V2,18,223275.82822217516,2784.8431053392533,221264.16497959077,226454.27563328887,78.73710677083334,0.044185466782528604,78.6905888671875,78.778515625,8.0,1.0,7.0,9.0,6.34432180023163,0.02820653686564921,6.311781034283452,6.361789110765202,TRY_B,0.855900993443724,0.8799632809900434,5.0,294.1546509747472,0.8129223162871597,standard,True,6.0
DESHPDHK0000lce9_4,V2,15,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_4,V2,14,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_4,V2,13,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_4,V2,17,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_2,V2,17,241868.78815080793,3154.43125245914,239693.24930531133,245486.51993993492,88.73227018229166,0.13236315284765154,88.579509765625,88.812916015625,20.0,3.0,17.0,23.0,7.191279747712627,0.017174566045307597,7.17148686141106,7.202247151989957,TRY_B,0.9153312415720977,1.0729982015899902,5.0,294.00382413415696,1.8559371822267299,standard,True,6.0
DESHPDHK0000lce9_2,V2,12,247592.21872712622,3080.158204469837,245579.89488062586,251138.12258946535,87.97074283854168,0.08438120683422565,87.876587890625,88.0395302734375,35.333333333333336,3.214550253664319,33.0,39.0,6.9608617349424415,0.012436777959602855,6.946722338262479,6.970106644113917,TRY_B,0.9902819704903735,0.8907637396203537,5.0,294.6250130173052,1.1492705082649117,standard,True,6.0
DESHPDHK0000lce9_2,V2,15,39769.81978014442,2063.895975342195,38109.040252663806,42080.42071728522,31.98163557942708,1.3707985280805768,31.01002587890625,33.54960009765625,2267.6666666666665,13.203534880225561,2256.0,2282.0,4.2981500351659845,0.058706608898309275,4.230693188830469,4.337679004876012,TRY_A,0.9249466565528164,1.1329039205580804,5.0,293.7933835247956,1.0197474106288174,retrofit,False,6.0
DESHPDHK0000lce9_2,V2,14,93517.17928196357,2152.809608059017,91995.946689653,95980.43404785347,48.256007161458335,0.830212204737878,47.7734794921875,49.214646484375,1954.3333333333333,15.011106998930241,1939.0,1969.0,3.8610089914587298,0.0705385696218204,3.7795835333237338,3.9034854891963957,TRY_A,1.133071278423135,1.0801060408008996,5.0,294.0836738213191,0.9687277729782862,standard,True,6.0
DESHPDHK0000lce9_2,V2,13,93693.72647146582,2173.0763260796166,92421.14489704501,96202.89280747843,48.18148763020833,0.6848525832893226,47.7425625,48.970626953125,1887.3333333333333,11.37248140615463,1878.0,1900.0,4.182208228963056,0.06859732235438402,4.103404182370513,4.228540931495274,TRY_A,1.0679255978730042,0.9748607675489322,5.0,294.41331053736974,0.925296360898044,standard,True,6.0
DESHPDHK0000lce9_2,V2,11,214218.8006394899,2732.376297351166,212584.3057335194,217373.1830975816,72.88138769531251,0.08087552309530241,72.7916298828125,72.94859375,9.666666666666666,1.5275252316519468,8.0,11.0,7.104262536425551,0.0166081051552868,7.0855413497194935,7.117224106463694,TRY_B,0.8757885436337143,0.8519686021341887,5.0,294.11782458525266,1.316099493250095,standard,True,6.0
DESHPDHK0000lce9_2,V2,10,106324.62024281586,2373.472024317248,104946.29672749102,109065.25407329416,49.6988994140625,0.8977988854395422,49.17557421875,50.735572265625,1806.0,12.489995996796797,1796.0,1820.0,4.1305446014444955,0.06922833259673514,4.051534551039855,4.180567277782709,TRY_A,0.9481838824139476,0.9878223245103231,5.0,294.28653069195923,1.598985319869216,standard,True,6.0
