base_building_group,building_id,variant,sample_id,seed,overheating_hours_any_zone_gt_26C
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,17,1,70.0
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,0,2,202.0
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,16,2,193.0
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,16,1,151.0
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,12,3,153.0
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,12,2,152.0
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,12,1,124.0
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,11,2,81.0
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,8,2,148.0
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,18,3,78.0
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,14,1,2350.0
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,2,1,2171.0
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,9,3,2415.0
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,5,2,2454.0
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,6,2,2245.0
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,6,1,2146.0
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,5,3,2417.0
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,5,1,2415.0
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,19,3,2429.0
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,4,2,2311.0
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,4,1,2217.0
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,2,3,2223.0
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,2,2,2251.0
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,9,1,2399.0
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,4,3,2263.0
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,9,2,2467.0
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,6,3,2199.0
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,10,1,2167.0
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,10,2,2262.0
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,10,3,2216.0
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,13,1,2283.0
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,13,2,2344.0
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,13,3,2298.0
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,19,2,2456.0
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,14,2,2434.0
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,14,3,2367.0
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,15,1,2552.0
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,15,2,2632.0
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,15,3,2596.0
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,19,1,2410.0
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,3,2,185.0
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,8,2,185.0
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,0,3,266.0
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,1,1,135.0
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,1,2,123.0
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,3,3,175.0
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,1,3,150.0
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,7,1,176.0
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,7,2,209.0
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,7,3,176.0
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,8,3,218.0
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,3,1,143.0
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,16,1,209.0
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,17,2,140.0
