variant,P5,P50,P95,n_runs,n_unique_samples,n_unique_seeds,n_unique_buildings
V2,34406.28855466241,103533.07986039625,246787.99828119972,240,60,4,1
V3,36508.77487958924,105025.32714421651,245953.5099209654,240,60,4,1
V5,31234.972648442505,99000.24440281882,231102.82414170704,240,60,4,1
V7,36267.75657438964,104480.17857671482,247766.63640081958,240,60,4,1
