variant,P5,P50,P95,n_runs,n_unique_samples,n_unique_seeds,n_unique_buildings
V1,24.26838564453125,48.961091796874996,63.69076308593749,60,20,3,1
V2,31.37220889892578,61.729341796875,88.06652924804688,60,20,3,1
V3,31.184235552978517,63.93804516601563,85.6980526611328,60,20,3,1
V4,31.29190397338867,63.89118054199219,85.81694575195311,60,20,3,1
V7,32.17783809814453,65.8828349609375,90.52978940429686,60,20,3,1
V8,33.23788662109375,67.6400874633789,91.88295495605466,60,20,3,1
