variant,datetime,heat_kW,mean_tair_C,overheat_flag
V1,2021-01-01 00:00:00,19.315224609375,19.076135253906273,0.0
V1,2021-01-01 01:00:00,39.3087880859375,20.984963989257835,0.0
V1,2021-01-01 02:00:00,40.0025009765625,20.984963989257835,0.0
V1,2021-01-01 03:00:00,40.496814453125,20.984963989257835,0.0
V1,2021-01-01 04:00:00,40.7525703125,20.985025024414085,0.0
V1,2021-01-01 05:00:00,40.051330078125,20.98504028320312,0.0
V1,2021-01-01 06:00:00,36.633229492187496,20.98511657714846,0.0
V1,2021-01-01 07:00:00,34.095201171875,20.985101318359398,0.0
V1,2021-01-01 08:00:00,31.02406640625,20.98511657714846,0.0
V1,2021-01-01 09:00:00,34.4479052734375,20.98504028320312,0.0
V1,2021-01-01 10:00:00,32.0780625,20.985025024414085,0.0
V1,2021-01-01 11:00:00,27.701759765625,20.985101318359398,0.0
V1,2021-01-01 12:00:00,22.9026669921875,20.98505554199221,0.0
V1,2021-01-01 13:00:00,23.721084960937503,20.985025024414085,0.0
V1,2021-01-01 14:00:00,24.5239501953125,20.984979248046898,0.0
V1,2021-01-01 15:00:00,27.901244140625,20.984948730468773,0.0
V1,2021-01-01 16:00:00,25.5463349609375,20.984994506835932,0.0
V1,2021-01-01 17:00:00,25.2407119140625,20.985025024414057,0.0
V1,2021-01-01 18:00:00,24.584291992187502,20.985009765625023,0.0
V1,2021-01-01 19:00:00,24.92027734375,20.984979248046898,0.0
V1,2021-01-01 20:00:00,24.8807890625,20.98499450683596,0.0
V1,2021-01-01 21:00:00,26.3507958984375,20.984948730468773,0.0
V1,2021-01-01 22:00:00,29.1538076171875,20.984963989257835,0.0
V1,2021-01-01 23:00:00,30.454333984375,20.98499450683596,0.0
V1,2021-01-02 00:00:00,29.5408271484375,20.98499450683596,0.0
V1,2021-01-02 01:00:00,31.42330859375,20.98499450683596,0.0
V1,2021-01-02 02:00:00,31.5221025390625,20.985009765625023,0.0
V1,2021-01-02 03:00:00,33.038763671875,20.985009765625023,0.0
V1,2021-01-02 04:00:00,31.1785244140625,20.985009765625023,0.0
V1,2021-01-02 05:00:00,30.6578388671875,20.985009765625023,0.0
V1,2021-01-02 06:00:00,28.743462890625,20.985086059570335,0.0
V1,2021-01-02 07:00:00,27.152791992187503,20.985025024414057,0.0
V1,2021-01-02 08:00:00,27.336619140625,20.98499450683596,0.0
V1,2021-01-02 09:00:00,24.05173046875,20.985070800781273,0.0
V1,2021-01-02 10:00:00,18.6198857421875,20.985025024414057,0.0
V1,2021-01-02 11:00:00,16.468994140625,20.985009765625023,0.0
V1,2021-01-02 12:00:00,14.7709208984375,20.984963989257835,0.0
V1,2021-01-02 13:00:00,14.395722656250001,20.984963989257835,0.0
V1,2021-01-02 14:00:00,12.89797802734375,20.985025024414057,0.0
V1,2021-01-02 15:00:00,12.53186474609375,20.984979248046898,0.0
V1,2021-01-02 16:00:00,15.24625,20.984979248046898,0.0
V1,2021-01-02 17:00:00,16.9144853515625,20.985009765624994,0.0
V1,2021-01-02 18:00:00,18.4911513671875,20.98499450683596,0.0
V1,2021-01-02 19:00:00,20.2523681640625,20.98493347167971,0.0
V1,2021-01-02 20:00:00,20.83709375,20.984963989257835,0.0
V1,2021-01-02 21:00:00,22.7725830078125,20.985009765625023,0.0
V1,2021-01-02 22:00:00,24.086279296875,20.984979248046898,0.0
V1,2021-01-02 23:00:00,24.026874999999997,20.984963989257835,0.0
V1,2021-01-03 00:00:00,29.7628740234375,20.984963989257835,0.0
V1,2021-01-03 01:00:00,28.41633203125,20.98499450683596,0.0
V1,2021-01-03 02:00:00,28.587375976562498,20.984963989257835,0.0
V1,2021-01-03 03:00:00,28.80318359375,20.984963989257835,0.0
V1,2021-01-03 04:00:00,29.852576171875,20.98499450683596,0.0
V1,2021-01-03 05:00:00,29.84479296875,20.984963989257835,0.0
V1,2021-01-03 06:00:00,31.689689453125,20.985025024414085,0.0
V1,2021-01-03 07:00:00,26.838372070312502,20.985070800781273,0.0
V1,2021-01-03 08:00:00,30.24344140625,20.984948730468773,0.0
V1,2021-01-03 09:00:00,27.303873046874997,20.98504028320312,0.0
V1,2021-01-03 10:00:00,22.97180078125,20.985055541992182,0.0
V1,2021-01-03 11:00:00,17.93925,20.985070800781273,0.0
V1,2021-01-03 12:00:00,16.382822265625002,20.984918212890648,0.0
V1,2021-01-03 13:00:00,15.64862939453125,20.98499450683596,0.0
V1,2021-01-03 14:00:00,14.94604296875,20.984979248046898,0.0
V1,2021-01-03 15:00:00,15.61072216796875,20.984979248046898,0.0
V1,2021-01-03 16:00:00,17.68270703125,20.984979248046898,0.0
V1,2021-01-03 17:00:00,20.7592294921875,20.98499450683596,0.0
V1,2021-01-03 18:00:00,22.8124833984375,20.985009765625023,0.0
V1,2021-01-03 19:00:00,25.386431640625,20.984979248046898,0.0
V1,2021-01-03 20:00:00,26.7221953125,20.984963989257835,0.0
V1,2021-01-03 21:00:00,29.768025390625,20.984979248046898,0.0
V1,2021-01-03 22:00:00,30.539783203125,20.98499450683596,0.0
V1,2021-01-03 23:00:00,30.786627929687498,20.98499450683596,0.0
V1,2021-01-04 00:00:00,30.53990234375,20.98499450683596,0.0
V1,2021-01-04 01:00:00,30.87499609375,20.98499450683596,0.0
V1,2021-01-04 02:00:00,31.593708984375,20.98499450683596,0.0
V1,2021-01-04 03:00:00,31.6597587890625,20.98499450683596,0.0
V1,2021-01-04 04:00:00,33.08432421875,20.98499450683596,0.0
V1,2021-01-04 05:00:00,33.02609375,20.98499450683596,0.0
V1,2021-01-04 06:00:00,29.869847656250002,20.985086059570335,0.0
V1,2021-01-04 07:00:00,29.6295107421875,20.985009765625023,0.0
V1,2021-01-04 08:00:00,28.6226025390625,20.985009765625023,0.0
V1,2021-01-04 09:00:00,28.6280537109375,20.985025024414057,0.0
V1,2021-01-04 10:00:00,27.8408046875,20.984979248046898,0.0
V1,2021-01-04 11:00:00,24.6877998046875,20.985086059570335,0.0
V1,2021-01-04 12:00:00,23.28264453125,20.985101318359398,0.0
V1,2021-01-04 13:00:00,24.37966796875,20.984918212890648,0.0
V1,2021-01-04 14:00:00,26.3815478515625,20.984963989257835,0.0
V1,2021-01-04 15:00:00,25.814806640625,20.985009765625023,0.0
V1,2021-01-04 16:00:00,24.899486328125,20.985009765625023,0.0
V1,2021-01-04 17:00:00,27.111185546875,20.984979248046898,0.0
V1,2021-01-04 18:00:00,27.22711328125,20.985009765625023,0.0
V1,2021-01-04 19:00:00,28.0595625,20.98499450683596,0.0
V1,2021-01-04 20:00:00,29.892812499999998,20.98499450683596,0.0
V1,2021-01-04 21:00:00,29.8019140625,20.985009765625023,0.0
V1,2021-01-04 22:00:00,30.3201240234375,20.984979248046898,0.0
V1,2021-01-04 23:00:00,31.121109375,20.984979248046898,0.0
V1,2021-01-05 00:00:00,30.563583007812497,20.98499450683596,0.0
V1,2021-01-05 01:00:00,30.8511318359375,20.98499450683596,0.0
V1,2021-01-05 02:00:00,30.671463867187498,20.98499450683596,0.0
V1,2021-01-05 03:00:00,28.05561328125,20.98499450683596,0.0
V1,2021-01-05 04:00:00,25.9152646484375,20.985009765625023,0.0
V1,2021-01-05 05:00:00,26.129623046874997,20.985009765625023,0.0
V1,2021-01-05 06:00:00,23.2677685546875,20.985070800781273,0.0
V1,2021-01-05 07:00:00,21.4568095703125,20.98504028320312,0.0
V1,2021-01-05 08:00:00,22.6278408203125,20.985009765625023,0.0
V1,2021-01-05 09:00:00,18.6549091796875,20.98504028320312,0.0
V1,2021-01-05 10:00:00,15.1044248046875,20.984979248046898,0.0
V1,2021-01-05 11:00:00,11.856700195312499,21.010049438476585,0.0
V1,2021-01-05 12:00:00,10.78252783203125,21.009942626953148,0.0
V1,2021-01-05 13:00:00,10.562955078125,21.01001892089846,0.0
V1,2021-01-05 14:00:00,10.5784345703125,21.009973144531273,0.0
V1,2021-01-05 15:00:00,10.629286621093751,21.00994262695312,0.0
V1,2021-01-05 16:00:00,12.31675390625,20.999978637695335,0.0
V1,2021-01-05 17:00:00,12.8835029296875,20.98499450683596,0.0
V1,2021-01-05 18:00:00,13.57256640625,20.985009765625023,0.0
V1,2021-01-05 19:00:00,11.263641113281249,21.000085449218773,0.0
V1,2021-01-05 20:00:00,14.99648779296875,20.984918212890648,0.0
V1,2021-01-05 21:00:00,16.623609375,20.984979248046898,0.0
V1,2021-01-05 22:00:00,16.06583935546875,20.984979248046898,0.0
V1,2021-01-05 23:00:00,17.373638671875,20.98499450683596,0.0
V1,2021-01-06 00:00:00,18.665390625,20.98499450683596,0.0
V1,2021-01-06 01:00:00,18.9489658203125,20.98499450683596,0.0
V1,2021-01-06 02:00:00,18.816392578125,20.98499450683596,0.0
V1,2021-01-06 03:00:00,19.400837890625,20.98499450683596,0.0
V1,2021-01-06 04:00:00,19.5726259765625,20.98499450683596,0.0
V1,2021-01-06 05:00:00,19.604533203125,20.985009765625023,0.0
V1,2021-01-06 06:00:00,17.021634765625002,20.985070800781273,0.0
V1,2021-01-06 07:00:00,15.654126953125001,20.985025024414085,0.0
V1,2021-01-06 08:00:00,15.20678564453125,20.984979248046898,0.0
V1,2021-01-06 09:00:00,14.3410986328125,20.98504028320312,0.0
V1,2021-01-06 10:00:00,13.712578613281249,20.985009765625023,0.0
V1,2021-01-06 11:00:00,13.57257958984375,20.985009765625023,0.0
V1,2021-01-06 12:00:00,13.64570751953125,20.985009765625023,0.0
V1,2021-01-06 13:00:00,12.0781640625,20.985009765625023,0.0
V1,2021-01-06 14:00:00,11.73616259765625,20.985009765625023,0.0
V1,2021-01-06 15:00:00,12.7318603515625,20.984963989257835,0.0
V1,2021-01-06 16:00:00,14.36955029296875,20.984963989257835,0.0
V1,2021-01-06 17:00:00,14.32578076171875,20.985009765625023,0.0
V1,2021-01-06 18:00:00,16.821607421875,20.984979248046898,0.0
V1,2021-01-06 19:00:00,18.0338212890625,20.98499450683596,0.0
V1,2021-01-06 20:00:00,20.426866210937497,20.984979248046898,0.0
V1,2021-01-06 21:00:00,21.3705595703125,20.98499450683596,0.0
V1,2021-01-06 22:00:00,22.111767578124997,20.98499450683596,0.0
V1,2021-01-06 23:00:00,22.0642177734375,20.984979248046898,0.0
V1,2021-01-07 00:00:00,22.0989697265625,20.98499450683596,0.0
V1,2021-01-07 01:00:00,24.017285156249997,20.98499450683596,0.0
V1,2021-01-07 02:00:00,23.3423984375,20.98499450683596,0.0
V1,2021-01-07 03:00:00,23.0107734375,20.98499450683596,0.0
V1,2021-01-07 04:00:00,23.10756640625,20.98499450683596,0.0
V1,2021-01-07 05:00:00,22.429484375,20.985009765625023,0.0
V1,2021-01-07 06:00:00,20.3780126953125,20.985070800781273,0.0
V1,2021-01-07 07:00:00,22.24679296875,20.98499450683596,0.0
V1,2021-01-07 08:00:00,21.20812890625,20.985009765625023,0.0
V1,2021-01-07 09:00:00,19.0093486328125,20.98499450683596,0.0
V1,2021-01-07 10:00:00,12.6569755859375,20.985009765625023,0.0
V1,2021-01-07 11:00:00,11.09188720703125,20.985025024414085,0.0
V1,2021-01-07 12:00:00,8.267462646484375,21.010049438476585,0.0
V1,2021-01-07 13:00:00,8.9016884765625,21.004251098632835,0.0
V1,2021-01-07 14:00:00,9.013773925781251,21.00000915527346,0.0
V1,2021-01-07 15:00:00,8.93847216796875,21.009973144531273,0.0
V1,2021-01-07 16:00:00,10.56842236328125,20.994073486328148,0.0
V1,2021-01-07 17:00:00,12.097778808593748,20.985009765625023,0.0
V1,2021-01-07 18:00:00,14.9842783203125,20.984979248046898,0.0
V1,2021-01-07 19:00:00,15.9935625,20.984979248046898,0.0
V1,2021-01-07 20:00:00,18.5364345703125,20.984948730468773,0.0
V1,2021-01-07 21:00:00,20.0127158203125,20.984979248046898,0.0
V1,2021-01-07 22:00:00,21.34968359375,20.984979248046898,0.0
V1,2021-01-07 23:00:00,23.178246093749998,20.984979248046898,0.0
V1,2021-01-08 00:00:00,24.7785263671875,20.984979248046898,0.0
V1,2021-01-08 01:00:00,25.3025546875,20.98499450683596,0.0
V1,2021-01-08 02:00:00,25.654626953125,20.98499450683596,0.0
V1,2021-01-08 03:00:00,22.724380859375,20.98499450683596,0.0
V1,2021-01-08 04:00:00,19.7353408203125,20.98499450683596,0.0
V1,2021-01-08 05:00:00,20.749202148437497,20.98499450683596,0.0
V1,2021-01-08 06:00:00,17.088154296875,20.985070800781273,0.0
V1,2021-01-08 07:00:00,17.233060546875,20.98499450683596,0.0
V1,2021-01-08 08:00:00,16.20177294921875,20.985025024414057,0.0
V1,2021-01-08 09:00:00,14.77841259765625,20.98504028320312,0.0
V1,2021-01-08 10:00:00,14.129185546875,20.985009765625023,0.0
V1,2021-01-08 11:00:00,12.817369140625,20.98504028320312,0.0
V1,2021-01-08 12:00:00,12.8735517578125,20.985009765625023,0.0
V1,2021-01-08 13:00:00,13.6221767578125,20.985009765625023,0.0
V1,2021-01-08 14:00:00,14.760255859375,20.984963989257835,0.0
V1,2021-01-08 15:00:00,14.9024619140625,20.984979248046898,0.0
V1,2021-01-08 16:00:00,15.81199609375,20.984979248046898,0.0
V1,2021-01-08 17:00:00,15.777033691406249,20.98499450683596,0.0
V1,2021-01-08 18:00:00,15.627306152343749,20.98499450683596,0.0
V1,2021-01-08 19:00:00,16.080536132812497,20.98499450683596,0.0
V1,2021-01-08 20:00:00,18.9207353515625,20.984979248046898,0.0
V1,2021-01-08 21:00:00,20.03844921875,20.984979248046898,0.0
V1,2021-01-08 22:00:00,20.79796875,20.984979248046898,0.0
V1,2021-01-08 23:00:00,23.0588505859375,20.984979248046898,0.0
