datetime,median_heat_kW
2021-01-01,22.26290266248915
2021-01-04,20.578221950954863
2021-01-07,17.883856635199653
2021-01-10,26.377202338324654
2021-01-13,24.92205993652344
2021-01-16,23.72579585096571
2021-01-19,22.12602103000217
2021-01-22,25.00279478624132
2021-01-25,23.061329203287762
2021-01-28,22.19297280544705
2021-01-31,19.08894719780816
2021-02-03,19.54455064053006
2021-02-06,18.99486183336046
2021-02-09,17.77484338378906
2021-02-12,18.61158974202474
2021-02-15,17.398624971177842
2021-02-18,15.751605167812771
2021-02-21,18.63427210828993
2021-02-24,21.529042188856337
2021-02-27,20.328600311279295
2021-03-02,15.55857911682129
2021-03-05,14.52794408416748
2021-03-08,18.7096593492296
2021-03-11,15.236454985724556
2021-03-14,14.965526776631672
2021-03-17,14.96550301276313
2021-03-20,11.536138995700412
2021-03-23,9.355752508799235
2021-03-26,12.12688498602973
2021-03-29,9.401409570482041
2021-04-01,5.533412570105658
2021-04-04,6.689315205256144
2021-04-07,3.80598895433214
2021-04-10,7.460254577636718
2021-04-13,10.995647634294297
2021-04-16,9.031424738142226
2021-04-19,5.344022528330485
2021-04-22,2.0417024671766493
2021-04-25,1.9164481132295397
2021-04-28,2.283718812306722
2021-05-01,4.951108602311876
2021-05-04,3.2287577260335287
2021-05-07,2.3032511325412326
2021-05-10,0.1380678867763943
2021-05-13,0.00938043721516927
2021-05-16,0.07972758992513021
2021-05-19,1.3062989949120416
2021-05-22,3.08026508585612
2021-05-25,1.4842129474216037
2021-05-28,1.6762113749186198
2021-05-31,0.6598850167592366
2021-06-03,0.342651298099094
2021-06-06,0.0
2021-06-09,0.2929225418302748
2021-06-12,0.0665149408976237
2021-06-15,0.22369320170084636
2021-06-18,0.2394844420750936
2021-06-21,0.0
2021-06-24,0.0
2021-06-27,0.0
2021-06-30,0.0
2021-07-03,0.0
2021-07-06,0.0
2021-07-09,0.0
2021-07-12,0.010169258965386285
2021-07-15,0.0
2021-07-18,0.0
2021-07-21,0.0
2021-07-24,0.027208333333333334
2021-07-27,0.0
2021-07-30,0.0
2021-08-02,0.0
2021-08-05,0.0
2021-08-08,0.0
2021-08-11,0.0
2021-08-14,0.0
2021-08-17,0.013433814578586155
2021-08-20,0.0
2021-08-23,0.027437602572970916
2021-08-26,0.0
2021-08-29,0.0
2021-09-01,0.0
2021-09-04,0.1876793811586168
2021-09-07,0.132479731241862
2021-09-10,0.30709613164265953
2021-09-13,0.9293855506049263
2021-09-16,0.7179112701416016
2021-09-19,2.2506132265726726
2021-09-22,3.2989764323764375
2021-09-25,3.406253724839952
2021-09-28,2.3916785401238334
2021-10-01,3.645593557993571
2021-10-04,2.4438850529988607
2021-10-07,3.011801762051052
2021-10-10,3.50089241833157
2021-10-13,6.401818550957574
2021-10-16,2.2849840482076007
2021-10-19,6.005653865072462
2021-10-22,4.979542698754205
2021-10-25,5.21148274146186
2021-10-28,7.372805247836642
2021-10-31,9.852280941327413
2021-11-03,9.125840132819283
2021-11-06,10.976762033806907
2021-11-09,13.219524090237087
2021-11-12,12.816244550281102
2021-11-15,15.634903307172989
2021-11-18,14.278455218844945
2021-11-21,19.972057020399305
2021-11-24,13.078087347242567
2021-11-27,18.803722005208336
2021-11-30,19.74791441853841
2021-12-03,20.317496181911892
2021-12-06,19.241259840223524
2021-12-09,20.747783342149525
2021-12-12,24.2945143500434
2021-12-15,24.907226481119793
2021-12-18,27.442887532552085
2021-12-21,21.552609819200303
2021-12-24,14.780614650302462
2021-12-27,21.63961434597439
2021-12-30,15.114668968356385
