datetime,median_heat_kW
2021-01-01,33.59333925141229
2021-01-04,26.696084760295022
2021-01-07,25.202414026326604
2021-01-10,33.83521807833844
2021-01-13,32.36725140560998
2021-01-16,31.473171711126966
2021-01-19,30.060601363817852
2021-01-22,33.3558995083703
2021-01-25,30.54689136897193
2021-01-28,29.666560964875753
2021-01-31,26.975430627067883
2021-02-03,26.940291153788568
2021-02-06,26.289268515537184
2021-02-09,24.769883105218412
2021-02-12,25.85240849388308
2021-02-15,23.527883561597932
2021-02-18,22.777620724166432
2021-02-21,25.48022870997588
2021-02-24,29.320175338639153
2021-02-27,26.96226874676016
2021-03-02,22.527398849487305
2021-03-05,21.523627651009296
2021-03-08,25.87380921824773
2021-03-11,22.270922802037664
2021-03-14,21.519778986000354
2021-03-17,21.73126040767299
2021-03-20,17.64881824559884
2021-03-23,15.1525565479464
2021-03-26,18.884205047902135
2021-03-29,15.62629510058297
2021-04-01,11.466959733565648
2021-04-04,12.56101508447859
2021-04-07,8.979254263069896
2021-04-10,10.658924168838395
2021-04-13,17.319856881750955
2021-04-16,15.334226124532726
2021-04-19,10.403142178999055
2021-04-22,6.9054159784019
2021-04-25,7.436178640259636
2021-04-28,7.4168708400825665
2021-05-01,9.555642231245836
2021-05-04,6.683345026327505
2021-05-07,5.7518098257780075
2021-05-10,2.5059247169345618
2021-05-13,1.4859105577203962
2021-05-16,2.8041732161740462
2021-05-19,4.475864087192549
2021-05-22,2.9261148229278624
2021-05-25,2.0170777528203194
2021-05-28,3.6412551298803755
2021-05-31,2.559690705863966
2021-06-03,0.8058528256548776
2021-06-06,2.2573932604657276
2021-06-09,2.4993612969319026
2021-06-12,1.229879573557112
2021-06-15,1.784570683677991
2021-06-18,0.532809639364481
2021-06-21,0.0607279837595092
2021-06-24,0.07133747854497698
2021-06-27,0.15869186733828652
2021-06-30,0.01219382341702779
2021-07-03,0.0006843875779045952
2021-07-06,0.1649165198273129
2021-07-09,0.3971333745585548
2021-07-12,0.20544575499163734
2021-07-15,0.0
2021-07-18,0.06773919219440884
2021-07-21,0.19368929939717053
2021-07-24,0.3612852033244239
2021-07-27,0.0
2021-07-30,0.0
2021-08-02,0.0
2021-08-05,0.0
2021-08-08,0.0
2021-08-11,0.32440185146530465
2021-08-14,0.24635975896153184
2021-08-17,0.23107656016614703
2021-08-20,0.11198736228545508
2021-08-23,0.5127348858515421
2021-08-26,0.040948026604122584
2021-08-29,0.40666903402242394
2021-09-01,0.3577756862706608
2021-09-04,0.6807399184902508
2021-09-07,0.3651647902462217
2021-09-10,1.0197689884238774
2021-09-13,1.673742959804005
2021-09-16,1.9874058005346191
2021-09-19,3.0016793307728236
2021-09-22,3.9112542284155887
2021-09-25,4.493455288052559
2021-09-28,3.070100826733642
2021-10-01,5.0136799693173835
2021-10-04,4.378646089275678
2021-10-07,7.650926860749722
2021-10-10,7.802655931029055
2021-10-13,10.889434593372876
2021-10-16,3.7750440610316067
2021-10-19,9.286520086289693
2021-10-22,10.28337574399511
2021-10-25,7.732947326295906
2021-10-28,11.827645900694653
2021-10-31,14.566631373888917
2021-11-03,14.05628598344326
2021-11-06,17.558477920702764
2021-11-09,19.326092345301888
2021-11-12,19.278781774250586
2021-11-15,22.107174695107673
2021-11-18,21.03309665250778
2021-11-21,27.22791119208932
2021-11-24,19.406217518462075
2021-11-27,26.686984188450708
2021-11-30,27.0406104982694
2021-12-03,27.61612824997306
2021-12-06,26.102617565313974
2021-12-09,28.653903024484716
2021-12-12,31.703881756765977
2021-12-15,32.331462972746955
2021-12-18,35.29906482741568
2021-12-21,28.17675798628231
2021-12-24,20.83479282601674
2021-12-27,29.073642252917093
2021-12-30,21.121201835126293
