variant,n_runs,n_profiles_used,n_timesteps,median_profile_csv
V2,60,60,366,C:\Sharon\mza_sensitivity_analysis\plotting_scripts\new_plots\output\variant_profiles\complete_year_1D_heat_demand_profile_V2_median_heat_demand_profile.csv
V3,60,60,366,C:\Sharon\mza_sensitivity_analysis\plotting_scripts\new_plots\output\variant_profiles\complete_year_1D_heat_demand_profile_V3_median_heat_demand_profile.csv
V4,60,60,366,C:\Sharon\mza_sensitivity_analysis\plotting_scripts\new_plots\output\variant_profiles\complete_year_1D_heat_demand_profile_V4_median_heat_demand_profile.csv
V7,60,60,366,C:\Sharon\mza_sensitivity_analysis\plotting_scripts\new_plots\output\variant_profiles\complete_year_1D_heat_demand_profile_V7_median_heat_demand_profile.csv
V8,60,60,366,C:\Sharon\mza_sensitivity_analysis\plotting_scripts\new_plots\output\variant_profiles\complete_year_1D_heat_demand_profile_V8_median_heat_demand_profile.csv
