variant,building_id,weather_key,trajectory_id,seed,param,param_index,kpi,dx_unit,elementary_effect
V1,DESHPDHK0000lce9_1,TRY_C,1,1100,gains_scale,1,heat_demand_kWh,-0.2,-6146.639667446725
V1,DESHPDHK0000lce9_1,TRY_C,1,1100,gains_scale,1,cool_demand_kWh,-0.2,-0.0
V1,DESHPDHK0000lce9_1,TRY_C,1,1100,gains_scale,1,peak_heat_kW,-0.2,-0.4514257812500233
V1,DESHPDHK0000lce9_1,TRY_C,1,1100,gains_scale,1,peak_cool_kW,-0.2,-0.0
V1,DESHPDHK0000lce9_1,TRY_C,1,1100,yoc_shift,4,heat_demand_kWh,-0.2,-0.0
V1,DESHPDHK0000lce9_1,TRY_C,1,1100,yoc_shift,4,cool_demand_kWh,-0.2,-0.0
V1,DESHPDHK0000lce9_1,TRY_C,1,1100,yoc_shift,4,peak_heat_kW,-0.2,-0.0
V1,DESHPDHK0000lce9_1,TRY_C,1,1100,yoc_shift,4,peak_cool_kW,-0.2,-0.0
V1,DESHPDHK0000lce9_1,TRY_C,1,1100,gWin,7,heat_demand_kWh,-0.2,-7858.602012791671
V1,DESHPDHK0000lce9_1,TRY_C,1,1100,gWin,7,cool_demand_kWh,-0.2,-0.0
V1,DESHPDHK0000lce9_1,TRY_C,1,1100,gWin,7,peak_heat_kW,-0.2,-0.1335351562499909
V1,DESHPDHK0000lce9_1,TRY_C,1,1100,gWin,7,peak_cool_kW,-0.2,-0.0
V1,DESHPDHK0000lce9_1,TRY_C,1,1100,UWin,8,heat_demand_kWh,-0.2,137.12210830693948
V1,DESHPDHK0000lce9_1,TRY_C,1,1100,UWin,8,cool_demand_kWh,-0.2,-0.0
V1,DESHPDHK0000lce9_1,TRY_C,1,1100,UWin,8,peak_heat_kW,-0.2,0.002285156250003695
V1,DESHPDHK0000lce9_1,TRY_C,1,1100,UWin,8,peak_cool_kW,-0.2,-0.0
V1,DESHPDHK0000lce9_1,TRY_C,1,1100,baseACH,5,heat_demand_kWh,0.19999999999999996,39262.14609821328
V1,DESHPDHK0000lce9_1,TRY_C,1,1100,baseACH,5,cool_demand_kWh,0.19999999999999996,0.0
V1,DESHPDHK0000lce9_1,TRY_C,1,1100,baseACH,5,peak_heat_kW,0.19999999999999996,13.603339843750003
V1,DESHPDHK0000lce9_1,TRY_C,1,1100,baseACH,5,peak_cool_kW,0.19999999999999996,0.0
V1,DESHPDHK0000lce9_1,TRY_C,1,1100,tset_spread_K,3,heat_demand_kWh,0.2,0.0
V1,DESHPDHK0000lce9_1,TRY_C,1,1100,tset_spread_K,3,cool_demand_kWh,0.2,0.0
V1,DESHPDHK0000lce9_1,TRY_C,1,1100,tset_spread_K,3,peak_heat_kW,0.2,0.0
V1,DESHPDHK0000lce9_1,TRY_C,1,1100,tset_spread_K,3,peak_cool_kW,0.2,0.0
V1,DESHPDHK0000lce9_1,TRY_C,1,1100,shadingFactor,6,heat_demand_kWh,0.2,-13752.694105205592
V1,DESHPDHK0000lce9_1,TRY_C,1,1100,shadingFactor,6,cool_demand_kWh,0.2,0.0
V1,DESHPDHK0000lce9_1,TRY_C,1,1100,shadingFactor,6,peak_heat_kW,0.2,-5.859375001193712e-05
V1,DESHPDHK0000lce9_1,TRY_C,1,1100,shadingFactor,6,peak_cool_kW,0.2,0.0
V1,DESHPDHK0000lce9_1,TRY_C,1,1100,hConWin,9,heat_demand_kWh,0.20000000000000007,3043.665329103532
V1,DESHPDHK0000lce9_1,TRY_C,1,1100,hConWin,9,cool_demand_kWh,0.20000000000000007,0.0
V1,DESHPDHK0000lce9_1,TRY_C,1,1100,hConWin,9,peak_heat_kW,0.20000000000000007,1.0708007812500138
V1,DESHPDHK0000lce9_1,TRY_C,1,1100,hConWin,9,peak_cool_kW,0.20000000000000007,0.0
V1,DESHPDHK0000lce9_1,TRY_C,1,1100,yoc_shift,4,heat_demand_kWh,0.39999999999999997,-49422.65189115046
V1,DESHPDHK0000lce9_1,TRY_C,1,1100,yoc_shift,4,cool_demand_kWh,0.39999999999999997,0.0
V1,DESHPDHK0000lce9_1,TRY_C,1,1100,yoc_shift,4,peak_heat_kW,0.39999999999999997,-10.730859375000003
V1,DESHPDHK0000lce9_1,TRY_C,1,1100,yoc_shift,4,peak_cool_kW,0.39999999999999997,0.0
V1,DESHPDHK0000lce9_1,TRY_C,2,1200,wwr_factor,0,heat_demand_kWh,0.19999999999999996,-3754.5413791941255
V1,DESHPDHK0000lce9_1,TRY_C,2,1200,wwr_factor,0,cool_demand_kWh,0.19999999999999996,0.0
V1,DESHPDHK0000lce9_1,TRY_C,2,1200,wwr_factor,0,peak_heat_kW,0.19999999999999996,0.7971093749999982
V1,DESHPDHK0000lce9_1,TRY_C,2,1200,wwr_factor,0,peak_cool_kW,0.19999999999999996,0.0
V1,DESHPDHK0000lce9_1,TRY_C,2,1200,gWin,7,heat_demand_kWh,0.19999999999999996,-12965.476876254255
V1,DESHPDHK0000lce9_1,TRY_C,2,1200,gWin,7,cool_demand_kWh,0.19999999999999996,0.0
V1,DESHPDHK0000lce9_1,TRY_C,2,1200,gWin,7,peak_heat_kW,0.19999999999999996,0.0
V1,DESHPDHK0000lce9_1,TRY_C,2,1200,gWin,7,peak_cool_kW,0.19999999999999996,0.0
V1,DESHPDHK0000lce9_1,TRY_C,2,1200,tset_spread_K,3,heat_demand_kWh,-0.2,-0.0
V1,DESHPDHK0000lce9_1,TRY_C,2,1200,tset_spread_K,3,cool_demand_kWh,-0.2,-0.0
V1,DESHPDHK0000lce9_1,TRY_C,2,1200,tset_spread_K,3,peak_heat_kW,-0.2,-0.0
V1,DESHPDHK0000lce9_1,TRY_C,2,1200,tset_spread_K,3,peak_cool_kW,-0.2,-0.0
V1,DESHPDHK0000lce9_1,TRY_C,2,1200,UWin,8,heat_demand_kWh,0.19999999999999996,276.5020048356383
V1,DESHPDHK0000lce9_1,TRY_C,2,1200,UWin,8,cool_demand_kWh,0.19999999999999996,0.0
V1,DESHPDHK0000lce9_1,TRY_C,2,1200,UWin,8,peak_heat_kW,0.19999999999999996,0.0
V1,DESHPDHK0000lce9_1,TRY_C,2,1200,UWin,8,peak_cool_kW,0.19999999999999996,0.0
V1,DESHPDHK0000lce9_1,TRY_C,2,1200,gains_scale,1,heat_demand_kWh,0.20000000000000007,-6125.619392268562
