overall_json,variant,variant_base,building_id,weather_key,trajectory_id,point_id,changed_param,changed_dim,seed,x_unit_0,x_unit_1,x_unit_2,x_unit_3,x_unit_4,x_unit_5,x_unit_6,x_unit_7,x_unit_8,x_unit_9,heat_demand_kWh,cool_demand_kWh,peak_heat_kW,peak_cool_kW,x_unit_10,x_unit_11
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step3_morris/V1/DESHPDHK0000lce9_1/TRY_C/traj_01/point_02/seed_1100/overall.json,V1,V1,DESHPDHK0000lce9_1,TRY_C,1,2,wwr_factor,0.0,1100,0.4000000000000001,0.2,0.2,0.2,0.6000000000000001,0.8,0.2,0.6000000000000001,0.2,0.4,198620.83824977538,0.0,58.81514453125,0.0,,
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step3_morris/V1/DESHPDHK0000lce9_1/TRY_C/traj_01/point_03/seed_1100/overall.json,V1,V1,DESHPDHK0000lce9_1,TRY_C,1,3,gains_scale,1.0,1100,0.4000000000000001,0.0,0.2,0.2,0.6000000000000001,0.8,0.2,0.6000000000000001,0.2,0.4,199850.16618326472,0.0,58.9054296875,0.0,,
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step3_morris/V1/DESHPDHK0000lce9_1/TRY_C/traj_01/point_04/seed_1100/overall.json,V1,V1,DESHPDHK0000lce9_1,TRY_C,1,4,yoc_shift,4.0,1100,0.4000000000000001,0.0,0.2,0.2,0.4000000000000001,0.8,0.2,0.6000000000000001,0.2,0.4,199850.16618326472,0.0,58.9054296875,0.0,,
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step3_morris/V1/DESHPDHK0000lce9_1/TRY_C/traj_01/point_05/seed_1100/overall.json,V1,V1,DESHPDHK0000lce9_1,TRY_C,1,5,gWin,7.0,1100,0.4000000000000001,0.0,0.2,0.2,0.4000000000000001,0.8,0.2,0.4000000000000001,0.2,0.4,201421.88658582306,0.0,58.93213671875,0.0,,
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step3_morris/V1/DESHPDHK0000lce9_1/TRY_C/traj_01/point_06/seed_1100/overall.json,V1,V1,DESHPDHK0000lce9_1,TRY_C,1,6,UWin,8.0,1100,0.4000000000000001,0.0,0.2,0.2,0.4000000000000001,0.8,0.2,0.4000000000000001,0.0,0.4,201394.46216416167,0.0,58.9316796875,0.0,,
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step3_morris/V1/DESHPDHK0000lce9_1/TRY_C/traj_01/point_07/seed_1100/overall.json,V1,V1,DESHPDHK0000lce9_1,TRY_C,1,7,baseACH,5.0,1100,0.4000000000000001,0.0,0.2,0.2,0.4000000000000001,1.0,0.2,0.4000000000000001,0.0,0.4,209246.89138380432,0.0,61.65234765625,0.0,,
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step3_morris/V1/DESHPDHK0000lce9_1/TRY_C/traj_01/point_08/seed_1100/overall.json,V1,V1,DESHPDHK0000lce9_1,TRY_C,1,8,tset_spread_K,3.0,1100,0.4000000000000001,0.0,0.2,0.4,0.4000000000000001,1.0,0.2,0.4000000000000001,0.0,0.4,209246.89138380432,0.0,61.65234765625,0.0,,
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step3_morris/V1/DESHPDHK0000lce9_1/TRY_C/traj_01/point_09/seed_1100/overall.json,V1,V1,DESHPDHK0000lce9_1,TRY_C,1,9,shadingFactor,6.0,1100,0.4000000000000001,0.0,0.2,0.4,0.4000000000000001,1.0,0.4,0.4000000000000001,0.0,0.4,206496.3525627632,0.0,61.6523359375,0.0,,
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step3_morris/V1/DESHPDHK0000lce9_1/TRY_C/traj_01/point_10/seed_1100/overall.json,V1,V1,DESHPDHK0000lce9_1,TRY_C,1,10,hConWin,9.0,1100,0.4000000000000001,0.0,0.2,0.4,0.4000000000000001,1.0,0.4,0.4000000000000001,0.0,0.6000000000000001,207105.0856285839,0.0,61.86649609375,0.0,,
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step3_morris/V1/DESHPDHK0000lce9_1/TRY_C/traj_01/point_11/seed_1100/overall.json,V1,V1,DESHPDHK0000lce9_1,TRY_C,1,11,yoc_shift,4.0,1100,0.8,0.4,0.6000000000000001,0.4,0.8,0.6000000000000001,0.6000000000000001,0.2,0.6000000000000001,0.6000000000000001,187336.02487212373,0.0,57.57415234375,0.0,0.8,
