variant,building_id,weather_key,kpi,param,param_index,mu,mu_star,sigma,n_effects,rank_mu_star
V3,DESHPDHK0000lce9_3,TRY_C,heat_demand_kWh,baseACH,5,53704.0873785438,53704.0873785438,1364.6729843707024,16,1
V3,DESHPDHK0000lce9_3,TRY_C,heat_demand_kWh,yoc_shift,4,-27505.349367475228,27505.34936747523,33555.52953645864,16,2
V3,DESHPDHK0000lce9_3,TRY_C,heat_demand_kWh,tset_mean_C,2,25476.194434867102,25476.194434867102,1868.2306071741668,16,3
V3,DESHPDHK0000lce9_3,TRY_C,heat_demand_kWh,shadingFactor,6,-16161.004317960644,16161.004317960642,2260.2210271922695,16,4
V3,DESHPDHK0000lce9_3,TRY_C,heat_demand_kWh,gWin,7,-11083.825521032122,11083.825521032122,2007.7037514533254,16,5
V3,DESHPDHK0000lce9_3,TRY_C,heat_demand_kWh,gains_scale,1,-6398.298627010572,6398.298627010572,964.2882910463676,16,6
V3,DESHPDHK0000lce9_3,TRY_C,heat_demand_kWh,hConWin,9,3806.5570759527054,3806.5570759527054,337.40269877401,16,7
V3,DESHPDHK0000lce9_3,TRY_C,heat_demand_kWh,wwr_factor,0,-2119.230362088283,2245.8824888743857,2021.5672238672535,16,8
V3,DESHPDHK0000lce9_3,TRY_C,heat_demand_kWh,tset_spread_K,3,592.8537944913297,658.7950198908949,552.0629975227056,16,9
V3,DESHPDHK0000lce9_3,TRY_C,heat_demand_kWh,UWin,8,218.04745755608567,218.04745755608565,56.796830051569685,16,10
V3,DESHPDHK0000lce9_3,TRY_C,peak_cool_kW,wwr_factor,0,0.0,0.0,0.0,16,1
V3,DESHPDHK0000lce9_3,TRY_C,peak_cool_kW,gains_scale,1,0.0,0.0,0.0,16,1
V3,DESHPDHK0000lce9_3,TRY_C,peak_cool_kW,tset_mean_C,2,0.0,0.0,0.0,16,1
V3,DESHPDHK0000lce9_3,TRY_C,peak_cool_kW,tset_spread_K,3,0.0,0.0,0.0,16,1
V3,DESHPDHK0000lce9_3,TRY_C,peak_cool_kW,yoc_shift,4,0.0,0.0,0.0,16,1
V3,DESHPDHK0000lce9_3,TRY_C,peak_cool_kW,baseACH,5,0.0,0.0,0.0,16,1
V3,DESHPDHK0000lce9_3,TRY_C,peak_cool_kW,shadingFactor,6,0.0,0.0,0.0,16,1
V3,DESHPDHK0000lce9_3,TRY_C,peak_cool_kW,gWin,7,0.0,0.0,0.0,16,1
V3,DESHPDHK0000lce9_3,TRY_C,peak_cool_kW,UWin,8,0.0,0.0,0.0,16,1
V3,DESHPDHK0000lce9_3,TRY_C,peak_cool_kW,hConWin,9,0.0,0.0,0.0,16,1
V3,DESHPDHK0000lce9_3,TRY_C,peak_heat_kW,baseACH,5,11.958999176025383,11.958999176025383,2.421159134638395,16,1
V3,DESHPDHK0000lce9_3,TRY_C,peak_heat_kW,tset_mean_C,2,9.343535003662115,9.343535003662115,3.15527824549917,16,2
V3,DESHPDHK0000lce9_3,TRY_C,peak_heat_kW,yoc_shift,4,-2.0257928466796904,2.035657958984378,4.168720797353679,16,3
V3,DESHPDHK0000lce9_3,TRY_C,peak_heat_kW,hConWin,9,1.301193084716803,1.301193084716803,0.1295482003249037,16,4
V3,DESHPDHK0000lce9_3,TRY_C,peak_heat_kW,wwr_factor,0,1.0105488586425548,1.0105488586425548,0.37523638908191437,16,5
V3,DESHPDHK0000lce9_3,TRY_C,peak_heat_kW,gains_scale,1,-0.27002365112303917,0.27002365112303917,0.16480761601792657,16,6
V3,DESHPDHK0000lce9_3,TRY_C,peak_heat_kW,tset_spread_K,3,-0.08802124023437276,0.08847320556640392,0.05922914389967972,16,7
V3,DESHPDHK0000lce9_3,TRY_C,peak_heat_kW,gWin,7,-0.02086654663086218,0.02086654663086218,0.05731055173034115,16,8
V3,DESHPDHK0000lce9_3,TRY_C,peak_heat_kW,shadingFactor,6,-0.0006257629394523789,0.0006257629394523789,0.0022953158804611207,16,9
V3,DESHPDHK0000lce9_3,TRY_C,peak_heat_kW,UWin,8,0.00043670654296779077,0.00043670654296779077,0.0012123381604976094,16,10
V5,DESHPDHK0000lce9_5,TRY_C,cool_demand_kWh,wwr_factor,0,0.0,0.0,0.0,16,1
V5,DESHPDHK0000lce9_5,TRY_C,cool_demand_kWh,gains_scale,1,0.0,0.0,0.0,16,1
V5,DESHPDHK0000lce9_5,TRY_C,cool_demand_kWh,tset_mean_C,2,0.0,0.0,0.0,16,1
V5,DESHPDHK0000lce9_5,TRY_C,cool_demand_kWh,tset_spread_K,3,0.0,0.0,0.0,16,1
V5,DESHPDHK0000lce9_5,TRY_C,cool_demand_kWh,yoc_shift,4,0.0,0.0,0.0,16,1
V5,DESHPDHK0000lce9_5,TRY_C,cool_demand_kWh,baseACH,5,0.0,0.0,0.0,16,1
V5,DESHPDHK0000lce9_5,TRY_C,cool_demand_kWh,shadingFactor,6,0.0,0.0,0.0,16,1
V5,DESHPDHK0000lce9_5,TRY_C,cool_demand_kWh,gWin,7,0.0,0.0,0.0,16,1
V5,DESHPDHK0000lce9_5,TRY_C,cool_demand_kWh,UWin,8,0.0,0.0,0.0,16,1
V5,DESHPDHK0000lce9_5,TRY_C,cool_demand_kWh,hConWin,9,0.0,0.0,0.0,16,1
V5,DESHPDHK0000lce9_5,TRY_C,heat_demand_kWh,baseACH,5,59092.05422019282,59092.05422019282,1510.9700701759643,16,1
V5,DESHPDHK0000lce9_5,TRY_C,heat_demand_kWh,yoc_shift,4,-28842.797229060863,28842.797229060863,35557.68179860641,16,2
V5,DESHPDHK0000lce9_5,TRY_C,heat_demand_kWh,tset_mean_C,2,26098.651094024262,26098.651094024262,1957.3254316886828,16,3
V5,DESHPDHK0000lce9_5,TRY_C,heat_demand_kWh,shadingFactor,6,-16073.114395690884,16073.114395690882,2289.5562163595246,16,4
V5,DESHPDHK0000lce9_5,TRY_C,heat_demand_kWh,gains_scale,1,-12172.223941452457,12172.223941452457,1147.4134948027026,16,5
V5,DESHPDHK0000lce9_5,TRY_C,heat_demand_kWh,gWin,7,-10973.522812049687,10973.522812049687,1960.6938869495234,16,6
V5,DESHPDHK0000lce9_5,TRY_C,heat_demand_kWh,hConWin,9,3616.8680809983653,3616.8680809983653,314.7858729497472,16,7
V5,DESHPDHK0000lce9_5,TRY_C,heat_demand_kWh,wwr_factor,0,-1853.3029581910432,2073.0244187776316,1974.3559872255048,16,8
V5,DESHPDHK0000lce9_5,TRY_C,heat_demand_kWh,tset_spread_K,3,507.8744335838656,677.320925410486,667.6934651426395,16,9
V5,DESHPDHK0000lce9_5,TRY_C,heat_demand_kWh,UWin,8,216.0194938266068,216.01949382660678,55.412399352369064,16,10
V5,DESHPDHK0000lce9_5,TRY_C,peak_cool_kW,wwr_factor,0,0.0,0.0,0.0,16,1
V5,DESHPDHK0000lce9_5,TRY_C,peak_cool_kW,gains_scale,1,0.0,0.0,0.0,16,1
V5,DESHPDHK0000lce9_5,TRY_C,peak_cool_kW,tset_mean_C,2,0.0,0.0,0.0,16,1
V5,DESHPDHK0000lce9_5,TRY_C,peak_cool_kW,tset_spread_K,3,0.0,0.0,0.0,16,1
V5,DESHPDHK0000lce9_5,TRY_C,peak_cool_kW,yoc_shift,4,0.0,0.0,0.0,16,1
V5,DESHPDHK0000lce9_5,TRY_C,peak_cool_kW,baseACH,5,0.0,0.0,0.0,16,1
V5,DESHPDHK0000lce9_5,TRY_C,peak_cool_kW,shadingFactor,6,0.0,0.0,0.0,16,1
V5,DESHPDHK0000lce9_5,TRY_C,peak_cool_kW,gWin,7,0.0,0.0,0.0,16,1
V5,DESHPDHK0000lce9_5,TRY_C,peak_cool_kW,UWin,8,0.0,0.0,0.0,16,1
V5,DESHPDHK0000lce9_5,TRY_C,peak_cool_kW,hConWin,9,0.0,0.0,0.0,16,1
V5,DESHPDHK0000lce9_5,TRY_C,peak_heat_kW,tset_mean_C,2,12.877534027099605,12.877534027099603,0.42112236795438895,16,1
V5,DESHPDHK0000lce9_5,TRY_C,peak_heat_kW,baseACH,5,11.884617919921876,11.884617919921876,0.16836016570730247,16,2
V5,DESHPDHK0000lce9_5,TRY_C,peak_heat_kW,hConWin,9,1.2623508453369148,1.2623508453369148,0.14525645165729917,16,3
V5,DESHPDHK0000lce9_5,TRY_C,peak_heat_kW,yoc_shift,4,-1.0110329437255938,1.2125313568115281,1.7951066895895165,16,4
V5,DESHPDHK0000lce9_5,TRY_C,peak_heat_kW,wwr_factor,0,0.8950853729247976,0.8950853729247976,0.08305424159350246,16,5
V5,DESHPDHK0000lce9_5,TRY_C,peak_heat_kW,gains_scale,1,-0.4614852905273503,0.4614852905273503,0.09655050540908948,16,6
V5,DESHPDHK0000lce9_5,TRY_C,peak_heat_kW,tset_spread_K,3,-0.02081741333009202,0.06883972167968988,0.0705248529553677,16,7
V5,DESHPDHK0000lce9_5,TRY_C,peak_heat_kW,shadingFactor,6,0.0,0.0,0.0,16,8
V5,DESHPDHK0000lce9_5,TRY_C,peak_heat_kW,gWin,7,0.0,0.0,0.0,16,8
V5,DESHPDHK0000lce9_5,TRY_C,peak_heat_kW,UWin,8,0.0,0.0,0.0,16,8
