region,assigned_zone,iou,coverage,fragmentation,purity,gt_area,pred_area,area_error_percent,centroid_distance,similarity_score,building_id
A0,4,0.4775536190815325,1,2,0.9616169959187738,117.01032942830378,59.23828392056415,49.37345770241467,3.690313886,0.5230853181363477,1
A1,3,0.4765741095971005,0.9999999999999998,2,0.9569998480584636,116.33499458840436,59.20109641031956,49.11153207186344,3.7267396013909817,0.5223397345841172,1
S0,0,0.6959727984562034,1.0000000000000002,3,0.770475223,14.866217675839216,16.941112249032923,13.957111475408125,0.4216386994539129,0.8025526530532335,1
S1,1,0.6901149167770555,1.0000000000000002,3,0.7687279406548121,14.952918351848544,16.941112249032024,13.296360284998745,0.4333737922937847,0.8009822128686863,1
A0,2,0.8903597560434223,1,1,0.8903597560434225,71.30533331195878,80.08597965930666,12.314150905000062,0.3602551542872461,0.905388122,2
A1,1,0.8818440593450652,1.0000000000000038,2,0.9663330104830992,84.69188576955715,79.73684587923975,5.850666619704086,0.5758591333096315,0.9118988847905316,2
S0,0,0.7767425550824913,1,1,0.809065038,11.270116825444376,13.248394959139013,17.55330636172562,0.3320259654510553,0.8361873625006553,2
A0,2,0.8544010749714234,0.9999999999999998,1,0.8564113709397372,70.46299068016424,82.05161229949701,16.446394777556662,0.6396382537049217,0.870093594,3
A1,1,0.7602860813079912,1.0000000000000002,3,0.888526986,86.77188538503458,82.07695816634264,5.410654843,0.8195519949078469,0.8461276036745365,3
S0,0,0.375174653,1.0000000000000002,2,0.572485486,13.62642280405314,12.405670531127925,8.958714186984604,1.4530454560061548,0.6288644048689147,3
A0,2,0.914454076,1.0000000000000002,1,0.9532636513008526,56.86590462346654,57.11126555165192,0.4314728303541759,0.1805486606663806,0.95163464,4
A1,1,0.9140545740115924,1,1,0.9561209893337336,56.20753042089381,56.08734836660739,0.2138184214578873,0.183934808,0.9518943707643768,4
S0,0,0.6503998503643857,1,1,0.6666661498534275,10.742241517616227,15.53074558664234,44.57639554252651,0.113124014,0.7109308359821312,4
A0,2,0.8242613933492277,1,1,0.896676506,75.16184024805374,76.34278257443702,1.5711993246651088,0.4294651201090001,0.8974660703602261,5
A1,1,0.9060516143974312,1,1,0.9221671124714114,69.40740157661344,73.84130424780498,6.388227437526682,0.1668132592649126,0.932884907,5
S0,0,0.3844186122974758,1.0000000000000002,2,0.5535033142499055,12.00269549038514,12.083065180551095,0.6695970103576855,1.3470519788867787,0.6568590141506743,5
A0,2,0.8002905323749531,1.0000000000000004,1,0.8165087411791203,64.18018813529312,76.69953560501209,19.50656087721016,0.8975396449373351,0.8289403728710178,6
A1,1,0.8375465758033614,0.9999999999999996,2,0.9617009954467852,87.24891336343362,78.60709783621424,9.904782987063768,0.6897491539988646,0.8767676015840498,6
S0,0,0.8005322950653713,0.9999999999999996,1,0.8363037266688085,11.100781050689784,12.600373065664812,13.508887420870687,0.2055979350870675,0.8613539806033322,6
A0,1,0.7328628988860443,1,1,0.7413484845369523,59.50733898566611,79.03465529895725,32.81497147435008,0.8223656656383679,0.7638348791161877,7
A1,2,0.7852818581798436,0.9999999999999992,2,0.9689351665374611,92.63228954785808,77.01359041903677,16.86096630565519,0.820878323,0.8299665552392824,7
S0,0,0.5654474949797039,1.0000000000000002,2,0.6775302269856927,12.88637711724774,14.714679777489382,14.187871762611652,0.6533780164533217,0.7309196176719898,7
A0,1,0.9338674098527872,1.0000000000000002,1,0.9536461296127928,49.77649329,51.06195263578309,2.582462645905053,0.090252498,0.958221236,8
A1,2,0.9272952470336748,0.9999999999999996,1,0.9564165611419122,51.21846902839147,51.84994236292697,1.2329016202836145,0.1273833752727475,0.9573807850843098,8
