base_building_group,variant,sample_id,annual_heating_kWh_mean,annual_heating_kWh_ref,annual_heating_kWh_delta_vs_V1
DESHPDHK0000lce9,V1,0,171510.7750939862,171510.7750939862,0.0
DESHPDHK0000lce9,V1,19,28309.815766446194,28309.815766446194,0.0
DESHPDHK0000lce9,V1,18,179555.13723949107,179555.13723949107,0.0
DESHPDHK0000lce9,V1,17,172120.54960784432,172120.54960784432,0.0
DESHPDHK0000lce9,V1,16,164281.1558447118,164281.1558447118,0.0
DESHPDHK0000lce9,V1,15,19726.50882705744,19726.50882705744,0.0
DESHPDHK0000lce9,V1,13,73058.01085018588,73058.01085018588,0.0
DESHPDHK0000lce9,V1,12,185992.0495834079,185992.0495834079,0.0
DESHPDHK0000lce9,V1,11,178881.2534975483,178881.2534975483,0.0
DESHPDHK0000lce9,V1,10,74121.99602660512,74121.99602660512,0.0
DESHPDHK0000lce9,V1,14,65865.40409609898,65865.40409609898,0.0
DESHPDHK0000lce9,V1,8,174447.89664714815,174447.89664714815,0.0
DESHPDHK0000lce9,V1,9,67177.22200663447,67177.22200663447,0.0
DESHPDHK0000lce9,V1,2,61438.07317036056,61438.07317036056,0.0
DESHPDHK0000lce9,V1,3,162901.5052000033,162901.5052000033,0.0
DESHPDHK0000lce9,V1,4,70754.8585275782,70754.8585275782,0.0
DESHPDHK0000lce9,V1,1,166625.37042181334,166625.37042181334,0.0
DESHPDHK0000lce9,V1,6,79869.80561501144,79869.80561501144,0.0
DESHPDHK0000lce9,V1,7,64352.54955048283,64352.54955048283,0.0
DESHPDHK0000lce9,V1,5,64197.9033389616,64197.9033389616,0.0
DESHPDHK0000lce9,V2,11,214218.80063948993,178881.2534975483,35337.54714194161
DESHPDHK0000lce9,V2,19,40609.687685082485,28309.815766446194,12299.87191863629
DESHPDHK0000lce9,V2,18,223275.82822217516,179555.13723949107,43720.690982684086
DESHPDHK0000lce9,V2,17,241868.78815080793,172120.54960784432,69748.2385429636
DESHPDHK0000lce9,V2,16,207956.6990704505,164281.1558447118,43675.543225738715
DESHPDHK0000lce9,V2,15,39769.81978014442,19726.50882705744,20043.310953086977
DESHPDHK0000lce9,V2,13,93693.72647146582,73058.01085018588,20635.715621279945
DESHPDHK0000lce9,V2,12,247592.21872712616,185992.0495834079,61600.16914371826
DESHPDHK0000lce9,V2,10,106324.62024281586,74121.99602660512,32202.624216210737
