base_building_group,variant,sample_id,annual_heating_kWh_mean,annual_heating_kWh_ref,annual_heating_kWh_delta_vs_V3
DESHPDHK0000lce9,V1,0,171510.7750939862,211208.16851903443,-39697.39342504824
DESHPDHK0000lce9,V1,19,28309.815766446194,42847.21947758309,-14537.403711136893
DESHPDHK0000lce9,V1,18,179555.13723949107,217218.945642986,-37663.80840349491
DESHPDHK0000lce9,V1,17,172120.54960784432,236333.32959979345,-64212.77999194912
DESHPDHK0000lce9,V1,16,164281.1558447118,205423.2006514369,-41142.04480672511
DESHPDHK0000lce9,V1,15,19726.50882705744,38238.22113624841,-18511.712309190967
DESHPDHK0000lce9,V1,13,73058.01085018588,102250.18339102615,-29192.17254084027
DESHPDHK0000lce9,V1,12,185992.0495834079,245949.07066050576,-59957.02107709786
DESHPDHK0000lce9,V1,11,178881.2534975483,228002.52188108108,-49121.26838353276
DESHPDHK0000lce9,V1,10,74121.99602660512,106187.02631925147,-32065.03029264635
DESHPDHK0000lce9,V1,14,65865.40409609898,88352.29836206896,-22486.894265969982
DESHPDHK0000lce9,V1,8,174447.89664714815,228440.96902856193,-53993.072381413775
DESHPDHK0000lce9,V1,9,67177.22200663447,117806.03689608896,-50628.81488945449
DESHPDHK0000lce9,V1,2,61438.07317036056,85164.86813850305,-23726.794968142487
DESHPDHK0000lce9,V1,3,162901.5052000033,202281.0779792145,-39379.57277921119
DESHPDHK0000lce9,V1,4,70754.8585275782,103484.79952811867,-32729.94100054048
DESHPDHK0000lce9,V1,1,166625.37042181334,219400.53160757254,-52775.16118575921
DESHPDHK0000lce9,V1,6,79869.80561501144,107092.46574479656,-27222.660129785116
DESHPDHK0000lce9,V1,7,64352.54955048283,93866.67564116135,-29514.126090678517
DESHPDHK0000lce9,V1,5,64197.9033389616,98589.63516470969,-34391.73182574809
DESHPDHK0000lce9,V2,11,214218.80063948993,228002.52188108108,-13783.721241591149
DESHPDHK0000lce9,V2,19,40609.687685082485,42847.21947758309,-2237.531792500602
DESHPDHK0000lce9,V2,18,223275.82822217516,217218.945642986,6056.882579189172
DESHPDHK0000lce9,V2,17,241868.78815080793,236333.32959979345,5535.4585510144825
DESHPDHK0000lce9,V2,16,207956.6990704505,205423.2006514369,2533.498419013602
DESHPDHK0000lce9,V2,15,39769.81978014442,38238.22113624841,1531.59864389601
DESHPDHK0000lce9,V2,13,93693.72647146582,102250.18339102615,-8556.456919560325
DESHPDHK0000lce9,V2,12,247592.21872712616,245949.07066050576,1643.1480666204006
DESHPDHK0000lce9,V2,10,106324.62024281586,106187.02631925147,137.59392356438912
DESHPDHK0000lce9,V2,14,93517.17928196357,88352.29836206896,5164.880919894611
DESHPDHK0000lce9,V2,8,208225.68335572165,228440.96902856193,-20215.285672840284
DESHPDHK0000lce9,V2,1,227410.62432925074,219400.53160757254,8010.0927216782
DESHPDHK0000lce9,V2,2,82524.85032566874,85164.86813850305,-2640.0178128343105
DESHPDHK0000lce9,V2,3,204166.00214817465,202281.0779792145,1884.9241689601622
DESHPDHK0000lce9,V2,4,110413.73599261284,103484.79952811867,6928.936464494167
DESHPDHK0000lce9,V2,0,214949.47421192806,211208.16851903443,3741.3056928936276
DESHPDHK0000lce9,V2,5,101832.2853737989,98589.63516470969,3242.6502090892172
DESHPDHK0000lce9,V2,6,117326.76690892463,107092.46574479656,10234.301164128075
DESHPDHK0000lce9,V2,7,83517.59468545772,93866.67564116135,-10349.080955703626
DESHPDHK0000lce9,V2,9,109977.58684096563,117806.03689608896,-7828.450055123336
DESHPDHK0000lce9,V3,10,106187.02631925147,106187.02631925147,0.0
DESHPDHK0000lce9,V3,18,217218.945642986,217218.945642986,0.0
DESHPDHK0000lce9,V3,17,236333.32959979345,236333.32959979345,0.0
DESHPDHK0000lce9,V3,16,205423.2006514369,205423.2006514369,0.0
DESHPDHK0000lce9,V3,15,38238.22113624841,38238.22113624841,0.0
DESHPDHK0000lce9,V3,14,88352.29836206896,88352.29836206896,0.0
DESHPDHK0000lce9,V3,13,102250.18339102615,102250.18339102615,0.0
DESHPDHK0000lce9,V3,12,245949.07066050576,245949.07066050576,0.0
DESHPDHK0000lce9,V3,11,228002.52188108108,228002.52188108108,0.0
DESHPDHK0000lce9,V3,19,42847.21947758309,42847.21947758309,0.0
DESHPDHK0000lce9,V3,9,117806.03689608896,117806.03689608896,0.0
DESHPDHK0000lce9,V3,7,93866.67564116135,93866.67564116135,0.0
