,Weather: Munich vs Napoli,Retrofit: retrofit vs standard,YoC class: high vs low,WWR: high vs low,Gains: high vs low,Mean setpoint: high vs low,Setpoint spread: high vs low,Total P95–P05 spread,Napoli P95–P05 spread,Munich P95–P05 spread,Standard P95–P05 spread,Retrofit P95–P05 spread,Seed variability,Variant vs 1Z,Variant vs 11Z/A
V1,n_new=120; n_base=120,n_new=56; n_base=184,high≥q75=5; low≤q25=5; n_high=224; n_low=212,high≥q75=1.079; low≤q25=0.9146; n_high=60; n_low=60,high≥q75=1.075; low≤q25=0.8701; n_high=60; n_low=60,high≥q75=294.4; low≤q25=294; n_high=60; n_low=60,high≥q75=1.513; low≤q25=0.8967; n_high=60; n_low=60,p05=26.7851; p50=32.2025; p95=35.8209; n=240,p05=35.1321; p50=35.5406; p95=35.8702; n=120,p05=26.6108; p50=27.5138; p95=29.1455; n=120,p05=26.721; p50=28.0854; p95=35.7779; n=184,p05=28.3127; p50=35.1955; p95=35.8673; n=56,n_groups=60,median_V1=32.2025; median_V1=32.2025,median_V1=32.2025; median_V3=32.1005
V2,n_new=120; n_base=120,n_new=56; n_base=184,high≥q75=5; low≤q25=5; n_high=224; n_low=212,high≥q75=1.079; low≤q25=0.9146; n_high=60; n_low=60,high≥q75=1.075; low≤q25=0.8701; n_high=60; n_low=60,high≥q75=294.4; low≤q25=294; n_high=60; n_low=60,high≥q75=1.513; low≤q25=0.8967; n_high=60; n_low=60,p05=26.9481; p50=32.0489; p95=36.0214; n=240,p05=35.1713; p50=35.6904; p95=36.0841; n=120,p05=26.8529; p50=27.5141; p95=29.0591; n=120,p05=26.8809; p50=27.9237; p95=35.9391; n=184,p05=28.253; p50=35.2329; p95=36.082; n=56,n_groups=60,median_V2=32.0489; median_V1=32.2025,median_V2=32.0489; median_V3=32.1005
V3,n_new=120; n_base=120,n_new=56; n_base=184,high≥q75=5; low≤q25=5; n_high=224; n_low=212,high≥q75=1.079; low≤q25=0.9146; n_high=60; n_low=60,high≥q75=1.075; low≤q25=0.8701; n_high=60; n_low=60,high≥q75=294.4; low≤q25=294; n_high=60; n_low=60,high≥q75=1.513; low≤q25=0.8967; n_high=60; n_low=60,p05=26.8374; p50=32.1005; p95=35.8532; n=240,p05=35.1398; p50=35.5267; p95=35.9211; n=120,p05=26.6732; p50=27.3875; p95=28.9472; n=120,p05=26.8269; p50=27.9019; p95=35.7645; n=184,p05=28.1952; p50=35.196; p95=36.0434; n=56,n_groups=60,median_V3=32.1005; median_V1=32.2025,median_V3=32.1005; median_V3=32.1005
V4,n_new=120; n_base=120,n_new=56; n_base=184,high≥q75=5; low≤q25=5; n_high=224; n_low=212,high≥q75=1.079; low≤q25=0.9146; n_high=60; n_low=60,high≥q75=1.075; low≤q25=0.8701; n_high=60; n_low=60,high≥q75=294.4; low≤q25=294; n_high=60; n_low=60,high≥q75=1.513; low≤q25=0.8967; n_high=60; n_low=60,p05=26.4631; p50=31.8433; p95=35.5678; n=240,p05=34.8108; p50=35.23; p95=35.6451; n=120,p05=26.368; p50=27.0801; p95=28.7044; n=120,p05=26.4508; p50=27.5957; p95=35.4653; n=184,p05=27.9718; p50=34.9771; p95=35.8826; n=56,n_groups=60,median_V4=31.8433; median_V1=32.2025,median_V4=31.8433; median_V3=32.1005
V5,n_new=120; n_base=120,n_new=56; n_base=184,high≥q75=5; low≤q25=5; n_high=224; n_low=212,high≥q75=1.079; low≤q25=0.9146; n_high=60; n_low=60,high≥q75=1.075; low≤q25=0.8701; n_high=60; n_low=60,high≥q75=294.4; low≤q25=294; n_high=60; n_low=60,high≥q75=1.513; low≤q25=0.8967; n_high=60; n_low=60,p05=26.8334; p50=32.1313; p95=35.8108; n=240,p05=35.1336; p50=35.552; p95=35.8909; n=120,p05=26.7; p50=27.4002; p95=28.956; n=120,p05=26.8101; p50=27.9912; p95=35.7552; n=184,p05=28.1408; p50=35.3302; p95=36.2341; n=56,n_groups=60,median_V5=32.1313; median_V1=32.2025,median_V5=32.1313; median_V3=32.1005
V6,n_new=120; n_base=120,n_new=56; n_base=184,high≥q75=5; low≤q25=5; n_high=224; n_low=212,high≥q75=1.079; low≤q25=0.9146; n_high=60; n_low=60,high≥q75=1.075; low≤q25=0.8701; n_high=60; n_low=60,high≥q75=294.4; low≤q25=294; n_high=60; n_low=60,high≥q75=1.513; low≤q25=0.8967; n_high=60; n_low=60,p05=26.4185; p50=31.8663; p95=35.5367; n=240,p05=34.6909; p50=35.159; p95=35.7294; n=120,p05=26.2392; p50=27.0198; p95=28.6826; n=120,p05=26.3344; p50=27.7009; p95=35.3521; n=184,p05=27.8996; p50=35.0536; p95=35.9647; n=56,n_groups=60,median_V6=31.8663; median_V1=32.2025,median_V6=31.8663; median_V3=32.1005
V7,n_new=120; n_base=120,n_new=56; n_base=184,high≥q75=5; low≤q25=5; n_high=224; n_low=212,high≥q75=1.079; low≤q25=0.9146; n_high=60; n_low=60,high≥q75=1.075; low≤q25=0.8701; n_high=60; n_low=60,high≥q75=294.4; low≤q25=294; n_high=60; n_low=60,high≥q75=1.513; low≤q25=0.8967; n_high=60; n_low=60,p05=26.6305; p50=31.7322; p95=35.4852; n=240,p05=34.75; p50=35.1071; p95=35.5732; n=120,p05=26.4568; p50=27.1964; p95=28.5883; n=120,p05=26.5861; p50=27.7547; p95=35.4075; n=184,p05=27.8647; p50=34.7751; p95=35.7797; n=56,n_groups=60,median_V7=31.7322; median_V1=32.2025,median_V7=31.7322; median_V3=32.1005
V8,n_new=120; n_base=120,n_new=56; n_base=184,high≥q75=5; low≤q25=5; n_high=224; n_low=212,high≥q75=1.079; low≤q25=0.9146; n_high=60; n_low=60,high≥q75=1.075; low≤q25=0.8701; n_high=60; n_low=60,high≥q75=294.4; low≤q25=294; n_high=60; n_low=60,high≥q75=1.513; low≤q25=0.8967; n_high=60; n_low=60,p05=26.8317; p50=32.0891; p95=35.8458; n=240,p05=35.1384; p50=35.5234; p95=35.9096; n=120,p05=26.6701; p50=27.3835; p95=28.9336; n=120,p05=26.8209; p50=27.9206; p95=35.7768; n=184,p05=28.1682; p50=35.1854; p95=36.0107; n=56,n_groups=60,median_V8=32.0891; median_V1=32.2025,median_V8=32.0891; median_V3=32.1005
V1_20HH,n_new=120; n_base=120,n_new=56; n_base=184,high≥q75=5; low≤q25=5; n_high=224; n_low=212,high≥q75=1.079; low≤q25=0.9146; n_high=60; n_low=60,high≥q75=1.075; low≤q25=0.8701; n_high=60; n_low=60,high≥q75=294.4; low≤q25=294; n_high=60; n_low=60,high≥q75=1.513; low≤q25=0.8967; n_high=60; n_low=60,p05=26.5354; p50=31.5584; p95=35.2637; n=240,p05=35.1471; p50=35.1648; p95=35.2915; n=120,p05=26.3284; p50=26.5658; p95=28.0037; n=120,p05=26.3614; p50=26.8257; p95=35.2853; n=184,p05=27.7711; p50=35.1965; p95=35.2626; n=56,n_groups=60,median_V1_20HH=31.5584; median_V1=32.2025,median_V1_20HH=31.5584; median_V3=32.1005
V2_20HH,n_new=120; n_base=120,n_new=56; n_base=184,high≥q75=5; low≤q25=5; n_high=224; n_low=212,high≥q75=1.079; low≤q25=0.9146; n_high=60; n_low=60,high≥q75=1.075; low≤q25=0.8701; n_high=60; n_low=60,high≥q75=294.4; low≤q25=294; n_high=60; n_low=60,high≥q75=1.513; low≤q25=0.8967; n_high=60; n_low=60,p05=27.462; p50=32.6357; p95=36.3897; n=240,p05=35.4765; p50=36.0334; p95=36.4604; n=120,p05=27.2905; p50=27.9966; p95=29.5383; n=120,p05=27.3725; p50=28.5357; p95=36.3248; n=184,p05=28.7693; p50=35.6774; p95=36.507; n=56,n_groups=60,median_V2_20HH=32.6357; median_V1=32.2025,median_V2_20HH=32.6357; median_V3=32.1005
