,Weather: Munich vs Napoli,Retrofit: retrofit vs standard,YoC class: high vs low,WWR: high vs low,Gains: high vs low,Mean setpoint: high vs low,Setpoint spread: high vs low,Total P95–P05 spread,Napoli P95–P05 spread,Munich P95–P05 spread,Standard P95–P05 spread,Retrofit P95–P05 spread,Seed variability,Variant vs 1Z,Variant vs 11Z/A
V1,n_new=120; n_base=120,n_new=56; n_base=184,high≥q75=5; low≤q25=5; n_high=224; n_low=212,high≥q75=1.079; low≤q25=0.9146; n_high=60; n_low=60,high≥q75=1.075; low≤q25=0.8701; n_high=60; n_low=60,high≥q75=294.4; low≤q25=294; n_high=60; n_low=60,high≥q75=1.513; low≤q25=0.8967; n_high=60; n_low=60,p05=20.9888; p50=22.7607; p95=24.0535; n=240,p05=23.1409; p50=23.4629; p95=24.2999; n=120,p05=20.9351; p50=21.3555; p95=22.3954; n=120,p05=20.9762; p50=21.8097; p95=23.5216; n=184,p05=21.565; p50=23.8227; p95=24.3215; n=56,n_groups=60,median_V1=22.7607; median_V1=22.7607,median_V1=22.7607; median_V3=22.5595
V2,n_new=120; n_base=120,n_new=56; n_base=184,high≥q75=5; low≤q25=5; n_high=224; n_low=212,high≥q75=1.079; low≤q25=0.9146; n_high=60; n_low=60,high≥q75=1.075; low≤q25=0.8701; n_high=60; n_low=60,high≥q75=294.4; low≤q25=294; n_high=60; n_low=60,high≥q75=1.513; low≤q25=0.8967; n_high=60; n_low=60,p05=21.0361; p50=22.4859; p95=23.9591; n=240,p05=22.8457; p50=23.3051; p95=24.1253; n=120,p05=20.9021; p50=21.5891; p95=22.2024; n=120,p05=20.9871; p50=22.1879; p95=23.7217; n=184,p05=21.171; p50=23.3603; p95=24.2028; n=56,n_groups=60,median_V2=22.4859; median_V1=22.7607,median_V2=22.4859; median_V3=22.5595
V3,n_new=120; n_base=120,n_new=56; n_base=184,high≥q75=5; low≤q25=5; n_high=224; n_low=212,high≥q75=1.079; low≤q25=0.9146; n_high=60; n_low=60,high≥q75=1.075; low≤q25=0.8701; n_high=60; n_low=60,high≥q75=294.4; low≤q25=294; n_high=60; n_low=60,high≥q75=1.513; low≤q25=0.8967; n_high=60; n_low=60,p05=20.9419; p50=22.5595; p95=23.8841; n=240,p05=23.0593; p50=23.3407; p95=24.2235; n=120,p05=20.7211; p50=21.5681; p95=22.2449; n=120,p05=20.9374; p50=22.3286; p95=23.5733; n=184,p05=21.2872; p50=23.3647; p95=24.2579; n=56,n_groups=60,median_V3=22.5595; median_V1=22.7607,median_V3=22.5595; median_V3=22.5595
V4,n_new=120; n_base=120,n_new=56; n_base=184,high≥q75=5; low≤q25=5; n_high=224; n_low=212,high≥q75=1.079; low≤q25=0.9146; n_high=60; n_low=60,high≥q75=1.075; low≤q25=0.8701; n_high=60; n_low=60,high≥q75=294.4; low≤q25=294; n_high=60; n_low=60,high≥q75=1.513; low≤q25=0.8967; n_high=60; n_low=60,p05=20.9253; p50=22.5516; p95=23.8301; n=240,p05=23.0462; p50=23.3163; p95=24.1896; n=120,p05=20.6754; p50=21.5589; p95=22.2472; n=120,p05=20.9192; p50=22.3475; p95=23.5193; n=184,p05=21.2525; p50=23.3036; p95=24.2331; n=56,n_groups=60,median_V4=22.5516; median_V1=22.7607,median_V4=22.5516; median_V3=22.5595
V5,n_new=120; n_base=120,n_new=56; n_base=184,high≥q75=5; low≤q25=5; n_high=224; n_low=212,high≥q75=1.079; low≤q25=0.9146; n_high=60; n_low=60,high≥q75=1.075; low≤q25=0.8701; n_high=60; n_low=60,high≥q75=294.4; low≤q25=294; n_high=60; n_low=60,high≥q75=1.513; low≤q25=0.8967; n_high=60; n_low=60,p05=21.0652; p50=22.7631; p95=24.0546; n=240,p05=23.1492; p50=23.5363; p95=24.2582; n=120,p05=20.9684; p50=21.4026; p95=22.2182; n=120,p05=21.0492; p50=22.0757; p95=23.6562; n=184,p05=21.6288; p50=23.6465; p95=24.3; n=56,n_groups=60,median_V5=22.7631; median_V1=22.7607,median_V5=22.7631; median_V3=22.5595
V6,n_new=120; n_base=120,n_new=56; n_base=184,high≥q75=5; low≤q25=5; n_high=224; n_low=212,high≥q75=1.079; low≤q25=0.9146; n_high=60; n_low=60,high≥q75=1.075; low≤q25=0.8701; n_high=60; n_low=60,high≥q75=294.4; low≤q25=294; n_high=60; n_low=60,high≥q75=1.513; low≤q25=0.8967; n_high=60; n_low=60,p05=21.0292; p50=22.787; p95=24.1107; n=240,p05=23.0977; p50=23.524; p95=24.2613; n=120,p05=20.9057; p50=21.3867; p95=22.2559; n=120,p05=21.0049; p50=22.0901; p95=23.6226; n=184,p05=21.6193; p50=23.6388; p95=24.3024; n=56,n_groups=60,median_V6=22.787; median_V1=22.7607,median_V6=22.787; median_V3=22.5595
V7,n_new=120; n_base=120,n_new=56; n_base=184,high≥q75=5; low≤q25=5; n_high=224; n_low=212,high≥q75=1.079; low≤q25=0.9146; n_high=60; n_low=60,high≥q75=1.075; low≤q25=0.8701; n_high=60; n_low=60,high≥q75=294.4; low≤q25=294; n_high=60; n_low=60,high≥q75=1.513; low≤q25=0.8967; n_high=60; n_low=60,p05=21.0045; p50=22.62; p95=23.9259; n=240,p05=23.1182; p50=23.4038; p95=24.2559; n=120,p05=20.7743; p50=21.6244; p95=22.3119; n=120,p05=20.9958; p50=22.3935; p95=23.6207; n=184,p05=21.3496; p50=23.4004; p95=24.2938; n=56,n_groups=60,median_V7=22.62; median_V1=22.7607,median_V7=22.62; median_V3=22.5595
V8,n_new=120; n_base=120,n_new=56; n_base=184,high≥q75=5; low≤q25=5; n_high=224; n_low=212,high≥q75=1.079; low≤q25=0.9146; n_high=60; n_low=60,high≥q75=1.075; low≤q25=0.8701; n_high=60; n_low=60,high≥q75=294.4; low≤q25=294; n_high=60; n_low=60,high≥q75=1.513; low≤q25=0.8967; n_high=60; n_low=60,p05=20.9764; p50=22.5824; p95=23.8943; n=240,p05=23.0737; p50=23.3495; p95=24.2337; n=120,p05=20.7581; p50=21.5994; p95=22.2769; n=120,p05=20.9717; p50=22.357; p95=23.5799; n=184,p05=21.3389; p50=23.3787; p95=24.268; n=56,n_groups=60,median_V8=22.5824; median_V1=22.7607,median_V8=22.5824; median_V3=22.5595
V1_20HH,n_new=120; n_base=120,n_new=56; n_base=184,high≥q75=5; low≤q25=5; n_high=224; n_low=212,high≥q75=1.079; low≤q25=0.9146; n_high=60; n_low=60,high≥q75=1.075; low≤q25=0.8701; n_high=60; n_low=60,high≥q75=294.4; low≤q25=294; n_high=60; n_low=60,high≥q75=1.513; low≤q25=0.8967; n_high=60; n_low=60,p05=20.4049; p50=21.6825; p95=23.1854; n=240,p05=22.5476; p50=22.5651; p95=23.186; n=120,p05=20.3788; p50=20.4126; p95=20.8712; n=120,p05=20.3792; p50=20.4605; p95=22.8328; n=184,p05=20.7383; p50=23.1479; p95=23.3681; n=56,n_groups=60,median_V1_20HH=21.6825; median_V1=22.7607,median_V1_20HH=21.6825; median_V3=22.5595
V2_20HH,n_new=120; n_base=120,n_new=56; n_base=184,high≥q75=5; low≤q25=5; n_high=224; n_low=212,high≥q75=1.079; low≤q25=0.9146; n_high=60; n_low=60,high≥q75=1.075; low≤q25=0.8701; n_high=60; n_low=60,high≥q75=294.4; low≤q25=294; n_high=60; n_low=60,high≥q75=1.513; low≤q25=0.8967; n_high=60; n_low=60,p05=21.1424; p50=22.7565; p95=24.2644; n=240,p05=23.0982; p50=23.5575; p95=24.3743; n=120,p05=21.0288; p50=21.7016; p95=22.3001; n=120,p05=21.1125; p50=22.2752; p95=23.9121; n=184,p05=21.632; p50=23.7947; p95=24.4553; n=56,n_groups=60,median_V2_20HH=22.7565; median_V1=22.7607,median_V2_20HH=22.7565; median_V3=22.5595
