,Weather: Munich vs Napoli,Retrofit: retrofit vs standard,YoC class: high vs low,WWR: high vs low,Gains: high vs low,Mean setpoint: high vs low,Setpoint spread: high vs low,Total P95–P05 spread,Napoli P95–P05 spread,Munich P95–P05 spread,Standard P95–P05 spread,Retrofit P95–P05 spread,Seed variability,Variant vs 1Z,Variant vs 11Z/A
V1,n_new=120; n_base=120,n_new=56; n_base=184,high≥q75=5; low≤q25=5; n_high=224; n_low=212,high≥q75=1.079; low≤q25=0.9146; n_high=60; n_low=60,high≥q75=1.075; low≤q25=0.8701; n_high=60; n_low=60,high≥q75=294.4; low≤q25=294; n_high=60; n_low=60,high≥q75=1.513; low≤q25=0.8967; n_high=60; n_low=60,p05=0; p50=0; p95=0; n=240,p05=0; p50=0; p95=0; n=120,p05=0; p50=0; p95=0; n=120,p05=0; p50=0; p95=0; n=184,p05=0; p50=0; p95=0; n=56,n_groups=0,median_V1=0; median_V1=0,median_V1=0; median_V3=13.141
V2,n_new=120; n_base=120,n_new=56; n_base=184,high≥q75=5; low≤q25=5; n_high=224; n_low=212,high≥q75=1.079; low≤q25=0.9146; n_high=60; n_low=60,high≥q75=1.075; low≤q25=0.8701; n_high=60; n_low=60,high≥q75=294.4; low≤q25=294; n_high=60; n_low=60,high≥q75=1.513; low≤q25=0.8967; n_high=60; n_low=60,p05=8.96575; p50=13.1879; p95=16.3482; n=240,p05=8.90656; p50=9.73219; p95=11.6687; n=120,p05=14.552; p50=15.3982; p95=17.7854; n=120,p05=8.97379; p50=14.532; p95=16.2702; n=184,p05=8.86806; p50=11.7645; p95=17.8035; n=56,n_groups=60,median_V2=13.1879; median_V1=0,median_V2=13.1879; median_V3=13.141
V3,n_new=120; n_base=120,n_new=56; n_base=184,high≥q75=5; low≤q25=5; n_high=224; n_low=212,high≥q75=1.079; low≤q25=0.9146; n_high=60; n_low=60,high≥q75=1.075; low≤q25=0.8701; n_high=60; n_low=60,high≥q75=294.4; low≤q25=294; n_high=60; n_low=60,high≥q75=1.513; low≤q25=0.8967; n_high=60; n_low=60,p05=9.33776; p50=13.141; p95=16.848; n=240,p05=9.06137; p50=10.4169; p95=11.6673; n=120,p05=14.5203; p50=15.4424; p95=17.761; n=120,p05=9.25655; p50=14.4836; p95=16.3797; n=184,p05=10.3685; p50=11.7502; p95=17.8069; n=56,n_groups=60,median_V3=13.141; median_V1=0,median_V3=13.141; median_V3=13.141
V4,n_new=120; n_base=120,n_new=56; n_base=184,high≥q75=5; low≤q25=5; n_high=224; n_low=212,high≥q75=1.079; low≤q25=0.9146; n_high=60; n_low=60,high≥q75=1.075; low≤q25=0.8701; n_high=60; n_low=60,high≥q75=294.4; low≤q25=294; n_high=60; n_low=60,high≥q75=1.513; low≤q25=0.8967; n_high=60; n_low=60,p05=8.35937; p50=12.0051; p95=15.2082; n=240,p05=8.176; p50=9.16858; p95=10.5391; n=120,p05=13.439; p50=14.2346; p95=15.3528; n=120,p05=8.37365; p50=13.3873; p95=15.3174; n=184,p05=8.33039; p50=9.88638; p95=15.1714; n=56,n_groups=60,median_V4=12.0051; median_V1=0,median_V4=12.0051; median_V3=13.141
V5,n_new=120; n_base=120,n_new=56; n_base=184,high≥q75=5; low≤q25=5; n_high=224; n_low=212,high≥q75=1.079; low≤q25=0.9146; n_high=60; n_low=60,high≥q75=1.075; low≤q25=0.8701; n_high=60; n_low=60,high≥q75=294.4; low≤q25=294; n_high=60; n_low=60,high≥q75=1.513; low≤q25=0.8967; n_high=60; n_low=60,p05=9.38683; p50=13.1365; p95=17.7971; n=240,p05=9.27357; p50=10.7462; p95=11.748; n=120,p05=14.5159; p50=15.8835; p95=17.9644; n=120,p05=9.36661; p50=14.4467; p95=16.4869; n=184,p05=11.3746; p50=11.8646; p95=17.9753; n=56,n_groups=60,median_V5=13.1365; median_V1=0,median_V5=13.1365; median_V3=13.141
V6,n_new=120; n_base=120,n_new=56; n_base=184,high≥q75=5; low≤q25=5; n_high=224; n_low=212,high≥q75=1.079; low≤q25=0.9146; n_high=60; n_low=60,high≥q75=1.075; low≤q25=0.8701; n_high=60; n_low=60,high≥q75=294.4; low≤q25=294; n_high=60; n_low=60,high≥q75=1.513; low≤q25=0.8967; n_high=60; n_low=60,p05=8.91132; p50=12.2645; p95=14.3358; n=240,p05=8.4281; p50=9.57797; p95=11.8919; n=120,p05=12.2686; p50=13.5849; p95=14.4933; n=120,p05=8.88495; p50=12.3459; p95=14.3293; n=184,p05=9.00176; p50=9.75058; p95=14.3411; n=56,n_groups=60,median_V6=12.2645; median_V1=0,median_V6=12.2645; median_V3=13.141
V7,n_new=120; n_base=120,n_new=56; n_base=184,high≥q75=5; low≤q25=5; n_high=224; n_low=212,high≥q75=1.079; low≤q25=0.9146; n_high=60; n_low=60,high≥q75=1.075; low≤q25=0.8701; n_high=60; n_low=60,high≥q75=294.4; low≤q25=294; n_high=60; n_low=60,high≥q75=1.513; low≤q25=0.8967; n_high=60; n_low=60,p05=4.09181; p50=5.16115; p95=6.42978; n=240,p05=4.0817; p50=5.50523; p95=6.72951; n=120,p05=4.15092; p50=4.88811; p95=6.0001; n=120,p05=4.15103; p50=5.28844; p95=6.5512; n=184,p05=3.88264; p50=4.82381; p95=6.24656; n=56,n_groups=60,median_V7=5.16115; median_V1=0,median_V7=5.16115; median_V3=13.141
V8,n_new=120; n_base=120,n_new=56; n_base=184,high≥q75=5; low≤q25=5; n_high=224; n_low=212,high≥q75=1.079; low≤q25=0.9146; n_high=60; n_low=60,high≥q75=1.075; low≤q25=0.8701; n_high=60; n_low=60,high≥q75=294.4; low≤q25=294; n_high=60; n_low=60,high≥q75=1.513; low≤q25=0.8967; n_high=60; n_low=60,p05=4.75164; p50=5.9769; p95=7.08555; n=240,p05=5.05173; p50=6.37878; p95=7.09498; n=120,p05=4.61839; p50=5.67134; p95=6.95441; n=120,p05=4.66812; p50=5.67134; p95=6.90753; n=184,p05=6.17802; p50=6.79996; p95=7.16938; n=56,n_groups=60,median_V8=5.9769; median_V1=0,median_V8=5.9769; median_V3=13.141
V1_20HH,n_new=120; n_base=120,n_new=56; n_base=184,high≥q75=5; low≤q25=5; n_high=224; n_low=212,high≥q75=1.079; low≤q25=0.9146; n_high=60; n_low=60,high≥q75=1.075; low≤q25=0.8701; n_high=60; n_low=60,high≥q75=294.4; low≤q25=294; n_high=60; n_low=60,high≥q75=1.513; low≤q25=0.8967; n_high=60; n_low=60,p05=0; p50=0; p95=0; n=240,p05=0; p50=0; p95=0; n=120,p05=0; p50=0; p95=0; n=120,p05=0; p50=0; p95=0; n=184,p05=0; p50=0; p95=0; n=56,n_groups=0,median_V1_20HH=0; median_V1=0,median_V1_20HH=0; median_V3=13.141
V2_20HH,n_new=120; n_base=120,n_new=56; n_base=184,high≥q75=5; low≤q25=5; n_high=224; n_low=212,high≥q75=1.079; low≤q25=0.9146; n_high=60; n_low=60,high≥q75=1.075; low≤q25=0.8701; n_high=60; n_low=60,high≥q75=294.4; low≤q25=294; n_high=60; n_low=60,high≥q75=1.513; low≤q25=0.8967; n_high=60; n_low=60,p05=8.93102; p50=13.1361; p95=16.2999; n=240,p05=8.87852; p50=9.67917; p95=11.6291; n=120,p05=14.5117; p50=15.3502; p95=17.7501; n=120,p05=8.92936; p50=14.4871; p95=16.2219; n=184,p05=9.13551; p50=11.7019; p95=17.7717; n=56,n_groups=60,median_V2_20HH=13.1361; median_V1=0,median_V2_20HH=13.1361; median_V3=13.141
