base_building_group,variant,sample_id,annual_heating_kWh_mean,annual_heating_kWh_std,annual_heating_kWh_min,annual_heating_kWh_max,peak_heating_kW_mean,peak_heating_kW_std,peak_heating_kW_min,peak_heating_kW_max,overheating_hours_meanTair_gt_26C_mean,overheating_hours_meanTair_gt_26C_std,overheating_hours_meanTair_gt_26C_min,overheating_hours_meanTair_gt_26C_max,mean_interzone_spread_C_mean,mean_interzone_spread_C_std,mean_interzone_spread_C_min,mean_interzone_spread_C_max,building_id,weather_key,wwr_factor,gains_scale,sa_tabula_year_class,sa_tset_mean_K,sa_tset_spread_K,sa_retrofit_state,sa_retrofit_is_standard,n_zones
DESHPDHK0000lce9,V1,0,67127.45887197327,1487.231265327216,65922.92661385631,69209.79453681182,39.478525390625,0.32022345355407145,39.25697265625,39.953328125,2141.25,22.396056200441436,2111.0,2165.0,0.0,0.0,0.0,0.0,DESHPDHK0000lce9_1,TRY_A,1.133071278423135,1.0801060408008996,5,294.16835551224983,0.9950452772842244,standard,True,1
DESHPDHK0000lce9,V1,32,74773.81471534992,1525.820943932887,73499.46033975983,76869.34896240807,40.577815429687504,0.32847528778093615,40.29144921875,41.00571875,2080.5,21.079215671683215,2051.0,2101.0,0.0,0.0,0.0,0.0,DESHPDHK0000lce9_1,TRY_A,1.0867560756635983,0.9797446008575155,5,294.5612988226346,1.7354011315259665,standard,True,1
DESHPDHK0000lce9,V1,33,60398.09878041628,1841.6512376379985,58890.37879300243,62949.740505105015,58.3405859375,0.16856645131433723,58.09966796875,58.462171875,115.25,12.526638282742368,98.0,128.0,0.0,0.0,0.0,0.0,DESHPDHK0000lce9_1,TRY_B,0.9088966247380637,0.8385563848613997,5,294.4501720383919,1.400693691482259,retrofit,False,1
DESHPDHK0000lce9,V1,34,62829.102643114806,1387.7458423581925,61729.37115655136,64771.8831871233,38.6841396484375,0.34348554580054547,38.4297109375,39.18830078125,2145.0,21.087120871912948,2118.0,2169.0,0.0,0.0,0.0,0.0,DESHPDHK0000lce9_1,TRY_A,1.1610409586175368,0.9823105159334444,5,293.8394095036339,1.3958737912952404,standard,True,1
DESHPDHK0000lce9,V1,35,23072.014106104492,1276.4514884820974,22068.10681021023,24846.17807796669,23.243994140625,0.9919852338699411,22.27950390625,24.366919921875,2470.75,26.28529373369578,2433.0,2491.0,0.0,0.0,0.0,0.0,DESHPDHK0000lce9_1,TRY_A,0.8809453459180921,0.922382649660261,5,293.9065569746838,1.6220802053354992,retrofit,False,1
DESHPDHK0000lce9,V1,36,22243.48233540103,1259.5028555109059,21220.6340376153,23955.54719800842,23.4662294921875,0.8847670913034257,22.65076171875,24.498951171875,2627.25,21.219095173922977,2596.0,2641.0,0.0,0.0,0.0,0.0,DESHPDHK0000lce9_1,TRY_A,1.0316878275767585,0.8707091131756928,5,294.20859467932024,0.8407844925535242,retrofit,False,1
DESHPDHK0000lce9,V1,37,67245.2002537601,1500.4705480888067,66025.6445060711,69346.66930632973,39.5670849609375,0.316787958387267,39.3390703125,40.033796875,2152.25,20.271079563424014,2125.0,2172.0,0.0,0.0,0.0,0.0,DESHPDHK0000lce9_1,TRY_A,1.1426457136369501,1.103407811934084,5,294.21065557499986,1.0875438674967421,standard,True,1
DESHPDHK0000lce9,V1,38,181937.84309317882,2012.1219876692858,180240.2311379471,184722.88510473157,66.063646484375,0.17257700250207908,65.8124296875,66.1852734375,49.0,10.327955589886445,37.0,61.0,0.0,0.0,0.0,0.0,DESHPDHK0000lce9_1,TRY_B,1.0877851823803746,0.9728372159100415,5,294.62061222358807,1.151285285305705,standard,True,1
DESHPDHK0000lce9,V1,39,73937.257105268,1462.2008037644196,72777.63926386261,76001.1109376831,41.51487109375,0.5991534650187397,40.7339921875,42.18990234375,1981.5,20.872629605937714,1953.0,2003.0,0.0,0.0,0.0,0.0,DESHPDHK0000lce9_1,TRY_A,1.0509235362809772,1.0336391875650943,4,293.9558759809219,1.986826882421659,standard,True,1
DESHPDHK0000lce9,V1,40,56768.58075194776,1273.8463774712877,55754.534305736066,58517.40913414001,36.3495576171875,0.32265479438065475,36.14709765625,36.82444140625,2315.5,18.266545011760375,2292.0,2335.0,0.0,0.0,0.0,0.0,DESHPDHK0000lce9_1,TRY_A,1.059938640621928,0.8337777284559557,6,293.786005139177,0.8465225711742266,standard,True,1
