variant,building_id,base_building_group,weather_key,sample_id,seed,run_dir,year,n_timesteps,dt_hours,n_zones,wwr_factor,gains_scale,weather_key_meta,sa_tabula_year_class,sa_tset_mean_K,sa_tset_spread_K,sa_retrofit_state,sa_retrofit_is_standard,annual_heating_kWh,peak_heating_kW,annual_cooling_kWh,peak_cooling_kW,mean_tair_C,max_tair_C,mean_tsetheat_C,overheating_hours_meanTair_gt_26C,underheating_hours_meanTair_below_meanTset,mean_interzone_spread_C,max_interzone_spread_C,overheating_hours_any_zone_gt_26C
V1,DESHPDHK0000lce9_1,DESHPDHK0000lce9,TRY_B,15,3,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0015\seed_3,2021,8761,1.0,1,0.9634114574898545,1.1413612293072664,TRY_B,5,293.7933835247956,1.0197474106288174,retrofit,False,46985.43517382908,52.12907421875,0.0,0.0,21.552061876397808,28.553674316406273,20.640008544921894,182.0,2520.0,0.0,0.0,182.0
V1,DESHPDHK0000lce9_1,DESHPDHK0000lce9,TRY_B,15,4,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0015\seed_4,2021,8761,1.0,1,0.9634114574898545,1.1413612293072664,TRY_B,5,293.7933835247956,1.0197474106288174,retrofit,False,48122.454788390634,52.0274375,0.0,0.0,21.56900422142299,28.778833007812523,20.640008544921894,198.0,2545.0,0.0,0.0,198.0
V1,DESHPDHK0000lce9_1,DESHPDHK0000lce9,TRY_B,12,4,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0012\seed_4,2021,8761,1.0,1,1.0214317602631984,1.0236828642981655,TRY_B,5,294.6250130173052,1.1492705082649117,standard,True,183221.06879932643,65.7238359375,0.0,0.0,21.815042081166062,27.813104248046898,21.48000488281252,46.0,3464.0,0.0,0.0,46.0
V1,DESHPDHK0000lce9_1,DESHPDHK0000lce9,TRY_B,16,1,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0016\seed_1,2021,8761,1.0,1,0.8935757943461363,0.8233210966756265,TRY_B,5,293.7795466999801,0.8393237984710207,standard,True,174530.2396173935,58.51415625,0.0,0.0,20.975815461316287,26.613031005859398,20.629998779296894,5.0,2870.0,0.0,0.0,5.0
V1,DESHPDHK0000lce9_1,DESHPDHK0000lce9,TRY_B,16,3,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0016\seed_3,2021,8761,1.0,1,0.8935757943461363,0.8233210966756265,TRY_B,5,293.7795466999801,0.8393237984710207,standard,True,170478.8539216187,58.488234375,0.0,0.0,20.98916455919703,26.830285644531273,20.629998779296894,8.0,2851.0,0.0,0.0,8.0
V1,DESHPDHK0000lce9_1,DESHPDHK0000lce9,TRY_B,16,4,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0016\seed_4,2021,8761,1.0,1,0.8935757943461363,0.8233210966756265,TRY_B,5,293.7795466999801,0.8393237984710207,standard,True,171936.99515624618,58.12505859375,0.0,0.0,21.00339697393814,27.178521728515648,20.629998779296894,9.0,2805.0,0.0,0.0,9.0
V1,DESHPDHK0000lce9_1,DESHPDHK0000lce9,TRY_B,19,1,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0019\seed_1,2021,8761,1.0,1,1.1135592836425654,1.065725416130955,TRY_B,5,294.6235494851678,1.0958892754048333,retrofit,False,55015.902659440995,60.08652734375,0.0,0.0,22.266310131298127,28.805871582031273,21.46999511718752,287.0,1805.0,0.0,0.0,287.0
V1,DESHPDHK0000lce9_1,DESHPDHK0000lce9,TRY_B,19,2,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0019\seed_2,2021,8761,1.0,1,1.1135592836425654,1.065725416130955,TRY_B,5,294.6235494851678,1.0958892754048333,retrofit,False,51266.59863547564,59.97391015625,0.0,0.0,22.310095408517704,28.959985351562523,21.46999511718752,322.0,1736.0,0.0,0.0,322.0
V1,DESHPDHK0000lce9_1,DESHPDHK0000lce9,TRY_B,19,3,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0019\seed_3,2021,8761,1.0,1,1.1135592836425654,1.065725416130955,TRY_B,5,294.6235494851678,1.0958892754048333,retrofit,False,50821.88015523904,60.07601953125,0.0,0.0,22.30981165878634,28.929986572265648,21.46999511718752,317.0,1761.0,0.0,0.0,317.0
V1,DESHPDHK0000lce9_1,DESHPDHK0000lce9,TRY_B,19,4,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0019\seed_4,2021,8761,1.0,1,1.1135592836425654,1.065725416130955,TRY_B,5,294.6235494851678,1.0958892754048333,retrofit,False,52410.03960198593,59.7177109375,0.0,0.0,22.318095183549403,29.110284423828148,21.46999511718752,328.0,1754.0,0.0,0.0,328.0
