building_id,n_gt_regions,n_pred_regions,zone_count_diff,false_negatives,false_positives,region_recall,region_precision,topology_correct,n_gt_core_apartment_edges,n_pred_core_apartment_edges,n_missing_core_apartment_edges,n_extra_core_apartment_edges,mean_iou_overall,mean_iou_matched,mean_area_error,mean_centroid_distance,mean_fragmentation,diagnosis
1,4,6,2,0,2,1.0,0.6666666666666666,1,2,2,0,0,0.585053861,0.585053861,31.434615383671243,2.068016494768487,2.5,Over-zoned
2,3,3,0,0,0,1.0,1.0,1,2,2,0,0,0.84964879,0.84964879,11.906041295476587,0.4227134176826443,1.3333333333333333,Good geometric match
3,3,3,0,0,0,1.0,1.0,1,2,2,0,0,0.6632872699174915,0.6632872699174915,10.271921269082142,0.9707452348729744,2.0,Moderate geometric match
4,3,3,0,0,0,1.0,1.0,1,2,2,0,0,0.826302834,0.826302834,15.073895598112856,0.1592024939757269,1.0,Good geometric match
5,3,3,0,0,0,1.0,1.0,1,2,2,0,0,0.7049105400147115,0.7049105400147115,2.876341257516492,0.6477767860868971,1.3333333333333333,Good geometric match
6,3,3,0,0,0,1.0,1.0,1,2,2,0,0,0.8127898010812286,0.8127898010812286,14.306743761714872,0.5976289113410891,1.3333333333333333,Good geometric match
7,3,3,0,0,0,1.0,1.0,1,2,2,0,0,0.694530751,0.694530751,21.28793651420564,0.7655406685172482,1.6666666666666667,Moderate geometric match
8,3,3,0,0,0,1.0,1.0,1,2,2,0,0,0.8811159608044336,0.8811159608044336,8.274800714887261,0.094086658,1.0,Good geometric match
9,3,3,0,0,0,1.0,1.0,1,2,2,0,0,0.8128978372718932,0.8128978372718932,17.605050844126605,0.2119194809352238,1.6666666666666667,Good geometric match
10,4,4,0,0,0,1.0,1.0,1,3,3,0,0,0.7433519110942443,0.7433519110942443,7.786832687645016,0.4807991655138324,2.0,Good geometric match
11,3,3,0,0,0,1.0,1.0,1,2,2,0,0,0.8361569640080043,0.8361569640080043,9.055224554050236,0.314181812,1.6666666666666667,Good geometric match
12,3,3,0,1,1,0.6666666666666666,0.6666666666666666,0,2,0,2,0,0.5151234084039037,0.7726851126058556,13.674753299412629,0.7709661999701702,1.6666666666666667,Structural mismatch
13,3,3,0,0,0,1.0,1.0,1,2,2,0,0,0.822925373,0.822925373,10.724025765553876,0.3450511897783079,1.6666666666666667,Good geometric match
14,3,3,0,0,0,1.0,1.0,1,2,2,0,0,0.851303255,0.851303255,7.950793530689316,0.2536592672428864,1.6666666666666667,Good geometric match
15,3,3,0,0,0,1.0,1.0,1,2,2,0,0,0.798641126,0.798641126,12.012449287884197,0.4799720630993536,1.3333333333333333,Good geometric match
16,3,3,0,0,0,1.0,1.0,1,2,2,0,0,0.8837573434601619,0.8837573434601619,10.25667119527139,0.1166223481289802,1.0,Good geometric match
17,4,4,0,0,0,1.0,1.0,1,3,3,0,0,0.5566470129476105,0.5566470129476105,10.622582799028702,1.001910298186432,2.5,Moderate geometric match
18,3,3,0,0,0,1.0,1.0,1,2,2,0,0,0.9009287216972875,0.9009287216972875,8.733515471791554,0.086489939,1.0,Good geometric match
19,6,6,0,0,0,1.0,1.0,1,4,4,0,0,0.8099148374792166,0.8099148374792166,8.746734278106702,0.4031812124723073,1.6666666666666667,Good geometric match
20,3,3,0,0,0,1.0,1.0,1,2,2,0,0,0.7613047036375687,0.7613047036375687,34.15044514479376,0.2433211432272569,1.6666666666666667,Good geometric match
21,4,4,0,0,0,1.0,1.0,1,3,3,0,0,0.7207527700038954,0.7207527700038954,11.874628982354274,0.4659802302734471,2.75,Good geometric match
22,3,3,0,0,0,1.0,1.0,1,2,2,0,0,0.823471834,0.823471834,6.904733734996722,0.3158539285475691,1.3333333333333333,Good geometric match
23,4,4,0,1,1,0.75,0.75,0,3,0,3,0,0.3816080106666937,0.5088106808889249,11.29514722,2.581024638390278,1.75,Structural mismatch
24,5,5,0,0,0,1.0,1.0,1,4,4,0,0,0.7737405878412018,0.7737405878412018,8.692068473593189,0.6160367499898614,1.8,Good geometric match
25,3,3,0,0,0,1.0,1.0,1,2,2,0,0,0.9541694697330296,0.9541694697330296,3.499507643282465,0.0555637,1.0,Good geometric match
26,3,3,0,0,0,1.0,1.0,1,2,2,0,0,0.7211299821511151,0.7211299821511151,14.431545609471383,0.7012869338306255,2.0,Good geometric match
27,3,3,0,0,0,1.0,1.0,1,2,2,0,0,0.8368210368184323,0.8368210368184323,14.15567633272135,0.2104133402782025,1.3333333333333333,Good geometric match
28,4,4,0,0,0,1.0,1.0,1,3,3,0,0,0.6189003553789044,0.6189003553789044,41.06873725723334,1.2523287624645736,2.25,High area error / shifted zones
29,3,3,0,0,0,1.0,1.0,1,2,2,0,0,0.8528831046520676,0.8528831046520676,16.557217121733313,0.3128553082658959,1.0,Good geometric match
30,3,3,0,0,0,1.0,1.0,1,2,2,0,0,0.7508211381862419,0.7508211381862419,22.09037023461487,0.9837062064291844,2.0,Good geometric match
31,3,3,0,0,0,1.0,1.0,1,2,2,0,0,0.8434864480806699,0.8434864480806699,15.210722958907922,0.2176251896891444,1.3333333333333333,Good geometric match
32,3,3,0,0,0,1.0,1.0,1,2,2,0,0,0.9104587754013002,0.9104587754013002,6.716582210203371,0.083672367,1.0,Good geometric match
33,3,3,0,1,1,0.6666666666666666,0.6666666666666666,0,2,0,2,0,0.3936733867841986,0.5905100801762979,4.336394165848766,1.6217362450540675,1.6666666666666667,Structural mismatch
34,4,4,0,1,1,0.75,0.75,0,3,0,3,0,0.3789490167708279,0.5052653556944372,44.43657302712524,1.580854074239092,2.25,Structural mismatch
35,4,4,0,0,0,1.0,1.0,1,3,3,0,0,0.5987790988982432,0.5987790988982432,39.33944555907716,1.101664611386132,2.0,Moderate geometric match
36,3,3,0,0,0,1.0,1.0,1,2,2,0,0,0.7444760413649961,0.7444760413649961,16.048975887106156,0.4797907134269528,2.333333333333333,Good geometric match
37,3,3,0,0,0,1.0,1.0,1,2,2,0,0,0.9165408061198916,0.9165408061198916,4.872719967939192,0.1133560653694299,1.0,Good geometric match
38,6,6,0,0,0,1.0,1.0,1,4,4,0,0,0.9104622244116748,0.9104622244116748,3.303069791359187,0.1442924569183888,1.1666666666666667,Good geometric match
39,4,4,0,0,0,1.0,1.0,1,3,3,0,0,0.8112654983446765,0.8112654983446765,19.70093836894837,0.4030342119185836,1.5,Good geometric match
40,3,3,0,0,0,1.0,1.0,1,2,2,0,0,0.8589756043366045,0.8589756043366045,7.041671798092511,0.2910082630345056,1.3333333333333333,Good geometric match
